Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector
"BRIDGEWATER ASSOCIATES, LP",SPDR S&P 500 ETF Trust,SPY,12/31/2005,SH,745252,92791000,0,0,32.1859,,1,999999,,new,FINANCE
"BRIDGEWATER ASSOCIATES, LP",Microsoft Corp.,MSFT,12/31/2005,SH,298500,7806000,0,0,2.7076,,2,999999,,new,INFORMATION TECHNOLOGY
"BRIDGEWATER ASSOCIATES, LP",Johnson & Johnson Co.,JNJ,12/31/2005,SH,124000,7452000,0,0,2.5848,,3,999999,,new,HEALTH CARE
"BRIDGEWATER ASSOCIATES, LP",American Express Co,AXP,12/31/2005,SH,140200,7215000,0,0,2.5026,,4,999999,,new,FINANCE
"BRIDGEWATER ASSOCIATES, LP","Pfizer, Inc.",PFE,12/31/2005,SH,276900,6457000,0,0,2.2397,,5,999999,,new,HEALTH CARE
"BRIDGEWATER ASSOCIATES, LP",Coca Cola Co.,KO,12/31/2005,SH,283800,5720000,0,0,1.9841,,6,999999,,new,CONSUMER STAPLES
"BRIDGEWATER ASSOCIATES, LP","Altria Group, Inc. (Philip Morris)",MO,12/31/2005,SH,74500,5567000,0,0,1.931,,7,999999,,new,CONSUMER STAPLES
"BRIDGEWATER ASSOCIATES, LP",Harley Davidson Inc,HOG,12/31/2005,SH,93500,4814000,0,0,1.6698,,8,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP","Johnson Controls, Inc. - delisted 2016-9-2",JCI,12/31/2005,SH,194700,4732000,0,0,1.6414,,9,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP","Pepsico Inc. (Loft, Inc.)",PEP,12/31/2005,SH,76200,4502000,0,0,1.5616,,10,999999,,new,CONSUMER STAPLES
"BRIDGEWATER ASSOCIATES, LP",Fairmont Hotels & Resorts,FHR,12/31/2005,SH,102450,4345000,0,0,1.5071,,11,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",Ford Motor Co.,F,12/31/2005,SH,560900,4330000,0,0,1.5019,,12,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",Motors Liquidation Corp. (Old General Motors Corp.),MTLQQ,12/31/2005,SH,216700,4208000,0,0,1.4596,,13,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",ExxonMobil Corp. (Standard Oil of New Jersey),XOM,12/31/2005,SH,71600,4022000,0,0,1.3951,,14,999999,,new,ENERGY
"BRIDGEWATER ASSOCIATES, LP",Walmart Inc,WMT,12/31/2005,SH,76900,3599000,0,0,1.2484,,15,999999,,new,CONSUMER STAPLES
"BRIDGEWATER ASSOCIATES, LP",General Electric Co,GE,12/31/2005,SH,401648,3536000,0,0,1.2265,,16,999999,,new,INDUSTRIALS
"BRIDGEWATER ASSOCIATES, LP",Abbott Laboratories,ABT,12/31/2005,SH,85600,3375000,0,0,1.1707,,17,999999,,new,HEALTH CARE
"BRIDGEWATER ASSOCIATES, LP",Capital One Financial Corp,COF,12/31/2005,SH,36100,3119000,0,0,1.0819,,18,999999,,new,FINANCE
"BRIDGEWATER ASSOCIATES, LP","American International Group, Inc.",AIG,12/31/2005,SH,2260,3084000,0,0,1.0697,,19,999999,,new,FINANCE
"BRIDGEWATER ASSOCIATES, LP",SLM Corp,SLM,12/31/2005,SH,53100,2925000,0,0,1.0146,,20,999999,,new,FINANCE
"BRIDGEWATER ASSOCIATES, LP",Oracle Corp,ORCL,12/31/2005,SH,199700,2438000,0,0,0.8457,,21,999999,,new,INFORMATION TECHNOLOGY
"BRIDGEWATER ASSOCIATES, LP",Lilly (Eli) & Co.,LLY,12/31/2005,SH,42600,2411000,0,0,0.8363,,22,999999,,new,HEALTH CARE
"BRIDGEWATER ASSOCIATES, LP","Wyeth, Inc.",WYE,12/31/2005,SH,49600,2285000,0,0,0.7926,,23,999999,,new,HEALTH CARE
"BRIDGEWATER ASSOCIATES, LP",Moodys Corp,MCO,12/31/2005,SH,36800,2260000,0,0,0.7839,,24,999999,,new,FINANCE
"BRIDGEWATER ASSOCIATES, LP",Johnson Controls International plc (Tyco Laboratories),JCI,12/31/2005,SH,37558.95,2257000,0,0,0.7829,,25,999999,,new,INDUSTRIALS
"BRIDGEWATER ASSOCIATES, LP",3M Co. (Minnesota Mining & Manufacturing),MMM,12/31/2005,SH,28700,2224000,0,0,0.7714,,26,999999,,new,INDUSTRIALS
"BRIDGEWATER ASSOCIATES, LP",TXU Corp.,TXU,12/31/2005,SH,42300,2123000,0,0,0.7364,,27,999999,,new,Utilities
"BRIDGEWATER ASSOCIATES, LP",Chevron Corp. (Standard Oil of California),CVX,12/31/2005,SH,35100,1993000,0,0,0.6913,,28,999999,,new,ENERGY
"BRIDGEWATER ASSOCIATES, LP",Duke Energy Corp.,DUK,12/31/2005,SH,22264.44,1834000,0,0,0.6361,,29,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP",Dominion Energy Inc,D,12/31/2005,SH,44600,1722000,0,0,0.5973,,30,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP",Southern Co.,SO,12/31/2005,SH,49500,1709000,0,0,0.5928,,31,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP",DowDuPont Inc. (Dow Chemical),DD,12/31/2005,SH,17246.25,1599000,0,0,0.5546,,32,999999,,new,MATERIALS
"BRIDGEWATER ASSOCIATES, LP","Home Depot, Inc. (The)",HD,12/31/2005,SH,38700,1567000,0,0,0.5435,,33,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",Bristol-Myers Squibb Co,BMY,12/31/2005,SH,66700,1533000,0,0,0.5317,,34,999999,,new,HEALTH CARE
"BRIDGEWATER ASSOCIATES, LP",ConocoPhillips (Phillips Petroleum),COP,12/31/2005,SH,25700,1495000,0,0,0.5186,,35,999999,,new,ENERGY
"BRIDGEWATER ASSOCIATES, LP",M.D.C. Holdings Inc.,MDC,12/31/2005,SH,27000.54,1476000,0,0,0.512,,36,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",Total System Services Inc,TSS,12/31/2005,SH,73200,1449000,0,0,0.5026,,37,999999,,new,FINANCE
"BRIDGEWATER ASSOCIATES, LP",Intrawest Corp,IDR,12/31/2005,SH,49900,1445000,0,0,0.5012,,38,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",CME Group Inc,CME,12/31/2005,SH,3900,1433000,0,0,0.4971,,39,999999,,new,FINANCE
"BRIDGEWATER ASSOCIATES, LP",Anheuser-Busch,BUD,12/31/2005,SH,32800,1409000,0,0,0.4887,,40,999999,,new,CONSUMER STAPLES
"BRIDGEWATER ASSOCIATES, LP",CIT Group Inc. (2002),CIT,12/31/2005,SH,26700,1383000,0,0,0.4797,,41,999999,,new,FINANCE
"BRIDGEWATER ASSOCIATES, LP",Schering-Plough Inc.,SGP,12/31/2005,SH,66200,1380000,0,0,0.4787,,42,999999,,new,HEALTH CARE
"BRIDGEWATER ASSOCIATES, LP",Mercury Interactive Corp.,MERQ.PK,12/31/2005,SH,43600,1212000,0,0,0.4204,,43,999999,,new,INFORMATION TECHNOLOGY
"BRIDGEWATER ASSOCIATES, LP",Alliance Data Systems Corp,ADS,12/31/2005,SH,31700,1129000,0,0,0.3916,,44,999999,,new,INFORMATION TECHNOLOGY
"BRIDGEWATER ASSOCIATES, LP",Borg Warner Inc,BWA,12/31/2005,SH,74400,1128000,0,0,0.3913,,45,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",Merck & Co,MRK,12/31/2005,SH,35000,1113000,0,0,0.3861,,46,999999,,new,HEALTH CARE
"BRIDGEWATER ASSOCIATES, LP",FirstEnergy Corp.,FE,12/31/2005,SH,22100,1083000,0,0,0.3757,,47,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP",Gemstar-TV Guide International Inc.,GMST,12/31/2005,SH,403500,1053000,0,0,0.3652,,48,999999,,new,INFORMATION TECHNOLOGY
"BRIDGEWATER ASSOCIATES, LP",Gentex Corp.,GNTX,12/31/2005,SH,103400,1008000,0,0,0.3496,,49,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",NextEra Energy Inc.,NEE,12/31/2005,SH,24100,1002000,0,0,0.3476,,50,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP",Entergy Corp.,ETR,12/31/2005,SH,14100,968000,0,0,0.3358,,51,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP",Target Corp.,TGT,12/31/2005,SH,17600,967000,0,0,0.3354,,52,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",Edison International (Southern California Edison),EIX,12/31/2005,SH,22000,959000,0,0,0.3326,,53,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP","Toll Brothers, Inc.",TOL,12/31/2005,SH,27400,949000,0,0,0.3292,,54,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",PG&E Corp. (Pacific Gas & Electric),PCG,12/31/2005,SH,25200,935000,0,0,0.3243,,55,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP",American Electric Power Co. (American Gas & Electric),AEP,12/31/2005,SH,25100,931000,0,0,0.3229,,56,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP",Tegna Inc. (Gannett Co.),TGNA,12/31/2005,SH,15000,909000,0,0,0.3153,,57,999999,,new,COMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP",Marathon Oil Corp. (1901) (old U.S. Steel),MRO,12/31/2005,SH,28788,878000,0,0,0.3045,,58,999999,,new,ENERGY
"BRIDGEWATER ASSOCIATES, LP","Lowes Companies, Inc.",LOW,12/31/2005,SH,25400,847000,0,0,0.2938,,59,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",Eastman Chemical Co.,EMN,12/31/2005,SH,32600,841000,0,0,0.2917,,60,999999,,new,MATERIALS
"BRIDGEWATER ASSOCIATES, LP",Lyondell Chemical Co.,LYO,12/31/2005,SH,34200,815000,0,0,0.2827,,61,999999,,new,MATERIALS
"BRIDGEWATER ASSOCIATES, LP",Allstate Corp (The),ALL,12/31/2005,SH,14800,800000,0,0,0.2775,,62,999999,,new,FINANCE
"BRIDGEWATER ASSOCIATES, LP",NortonLifeLock Inc. (Symantec),NLOK,12/31/2005,SH,44900,786000,0,0,0.2726,,63,999999,,new,INFORMATION TECHNOLOGY
"BRIDGEWATER ASSOCIATES, LP",E. I. du Pont de Nemours & Co. (delisted after merger with Dow 2017),DD,12/31/2005,SH,18400,782000,0,0,0.2712,,64,999999,,new,MATERIALS
"BRIDGEWATER ASSOCIATES, LP",Consolidated Edison Co. of New York Inc. (Consolidated Gas Co. of New York),ED,12/31/2005,SH,16400,760000,0,0,0.2636,,65,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP","Thor Industries, Inc.",THO,12/31/2005,SH,18800,753000,0,0,0.2612,,66,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",Valero Energy Corp.,VLO,12/31/2005,SH,14600,753000,0,0,0.2612,,67,999999,,new,ENERGY
"BRIDGEWATER ASSOCIATES, LP",PPL Corp. (Pennsylvania Power & Light),PPL,12/31/2005,SH,26735.13,732000,0,0,0.2539,,68,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP",Kohls Corp.,KSS,12/31/2005,SH,14800,719000,0,0,0.2494,,69,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",Ameren Corporation,AEE,12/31/2005,SH,13800,707000,0,0,0.2452,,70,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP",AES Corp. (The),AES,12/31/2005,SH,43400,687000,0,0,0.2383,,71,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP","Church & Dwight Co., Inc.",CHD,12/31/2005,SH,83000,685000,0,0,0.2376,,72,999999,,new,CONSUMER STAPLES
"BRIDGEWATER ASSOCIATES, LP",Apollo Group,APOL,12/31/2005,SH,11300,683000,0,0,0.2369,,73,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",Apple Inc,AAPL,12/31/2005,SH,65800,676000,0,0,0.2345,,74,999999,,new,INFORMATION TECHNOLOGY
"BRIDGEWATER ASSOCIATES, LP","Sempra Energy, Inc.",SRE,12/31/2005,SH,14700,659000,0,0,0.2286,,75,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP",Pogo Producing Co.,PPP,12/31/2005,SH,13200,657000,0,0,0.2279,,76,999999,,new,ENERGY
"BRIDGEWATER ASSOCIATES, LP",Lear Corp. (Old),LEARQ,12/31/2005,SH,22600,643000,0,0,0.223,,77,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",Mills Corp. (The),MLS,12/31/2005,SH,14700,617000,0,0,0.214,,78,999999,,new,FINANCE
"BRIDGEWATER ASSOCIATES, LP",Forest Laboratories Inc. Class A,FRX,12/31/2005,SH,15100,614000,0,0,0.213,,79,999999,,new,HEALTH CARE
"BRIDGEWATER ASSOCIATES, LP",Bed Bath & Beyond Inc.,BBBY,12/31/2005,SH,16800,607000,0,0,0.2105,,80,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",Walt Disney Co. (The),DIS,12/31/2005,SH,25200,604000,0,0,0.2095,,81,999999,,new,COMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP","Constellation Brands, Inc.",STZ,12/31/2005,SH,22900,601000,0,0,0.2085,,82,999999,,new,CONSUMER STAPLES
"BRIDGEWATER ASSOCIATES, LP",Medtronic Plc,MDT,12/31/2005,SH,10400,599000,0,0,0.2078,,83,999999,,new,HEALTH CARE
"BRIDGEWATER ASSOCIATES, LP",DTE Energy Co. (Detroit Edison),DTE,12/31/2005,SH,13700,592000,0,0,0.2053,,84,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP",HP Inc,HPQ,12/31/2005,SH,20500,587000,0,0,0.2036,,85,999999,,new,INFORMATION TECHNOLOGY
"BRIDGEWATER ASSOCIATES, LP",Reynolds American Inc.,RAI,12/31/2005,SH,47200,562000,0,0,0.1949,,86,999999,,new,CONSUMER STAPLES
"BRIDGEWATER ASSOCIATES, LP",Devon Energy Corp.,DVN,12/31/2005,SH,8800,550000,0,0,0.1908,,87,999999,,new,ENERGY
"BRIDGEWATER ASSOCIATES, LP","Adobe Systems, Inc.",ADBE,12/31/2005,SH,14700,543000,0,0,0.1883,,88,999999,,new,INFORMATION TECHNOLOGY
"BRIDGEWATER ASSOCIATES, LP",AmeriCredit Corp.,ACF,12/31/2005,SH,21200,543000,0,0,0.1883,,89,999999,,new,FINANCE
"BRIDGEWATER ASSOCIATES, LP",Hovnanian Enterprises Inc. Class A,HOV,12/31/2005,SH,436,541000,0,0,0.1877,,90,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP",Hess Corp,HES,12/31/2005,SH,12300,520000,0,0,0.1804,,91,999999,,new,ENERGY
"BRIDGEWATER ASSOCIATES, LP",Occidental Petroleum Corp.,OXY,12/31/2005,SH,13022.1,519000,0,0,0.18,,92,999999,,new,ENERGY
"BRIDGEWATER ASSOCIATES, LP",Hartford Financial Services Group,HIG,12/31/2005,SH,6000,515000,0,0,0.1786,,93,999999,,new,FINANCE
"BRIDGEWATER ASSOCIATES, LP",Xcel Energy Inc. (Northern States Power Co. (MN)),XEL,12/31/2005,SH,27500,508000,0,0,0.1762,,94,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"BRIDGEWATER ASSOCIATES, LP",Coca-Cola European Partners PLC,CCEP,12/31/2005,SH,26300,504000,0,0,0.1748,,95,999999,,new,CONSUMER STAPLES
"BRIDGEWATER ASSOCIATES, LP",KB Home Inc.,KBH,12/31/2005,SH,6700,487000,0,0,0.1689,,96,999999,,new,CONSUMER DISCRETIONARY
"BRIDGEWATER ASSOCIATES, LP","HRPT Properties Trust, 9.875% Series A Cumul Redeem Preferred Shares",HRP,12/31/2005,SH,45800,474000,0,0,0.1644,,97,999999,,new,FINANCE
"BRIDGEWATER ASSOCIATES, LP","Electronic Arts, Inc.",EA,12/31/2005,SH,8800,460000,0,0,0.1596,,98,999999,,new,INFORMATION TECHNOLOGY
"BRIDGEWATER ASSOCIATES, LP",Keyspan Corp.,KSE,12/31/2005,SH,12800,457000,0,0,0.1585,,99,999999,,new,Utilities
"BRIDGEWATER ASSOCIATES, LP",Stryker Corp.,SYK,12/31/2005,SH,10000,444000,0,0,0.154,,100,999999,,new,HEALTH CARE
