Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector
LONE PINE CAPITAL LLC,Apollo Group,APOL,12/31/2004,SH,6117135,493714000,0,0,8.2728,,1,999999,,new,CONSUMER DISCRETIONARY
LONE PINE CAPITAL LLC,UnitedHealth Group Inc.,UNH,12/31/2004,SH,6984800,307436000,0,0,5.1515,,2,999999,,new,HEALTH CARE
LONE PINE CAPITAL LLC,"Sears, Roebuck & Co.",SRJ,12/31/2004,PUT,4843400,247159000,0,0,4.1415,,3,999999,,new,CONSUMER DISCRETIONARY
LONE PINE CAPITAL LLC,America Movil S.A.B. de C.V. ADS,AMX,12/31/2004,SH,27315600,238329000,0,0,3.9935,,4,999999,,new,UTILITIES AND TELECOMMUNICATIONS
LONE PINE CAPITAL LLC,CareMark RX Inc.,CMX,12/31/2004,SH,5522226,217741000,0,0,3.6485,,5,999999,,new,HEALTH CARE
LONE PINE CAPITAL LLC,Lennar Corp. Class A,LEN,12/31/2004,SH,3609027.9,201140000,0,0,3.3704,,6,999999,,new,CONSUMER DISCRETIONARY
LONE PINE CAPITAL LLC,SLM Corp,SLM,12/31/2004,SH,3304000,176401000,0,0,2.9558,,7,999999,,new,FINANCE
LONE PINE CAPITAL LLC,NII HOLDINGS INC CL,NIHDQ,12/31/2004,SH,6433878,152644000,0,0,2.5577,,8,999999,,new,Communications
LONE PINE CAPITAL LLC,Bed Bath & Beyond Inc.,BBBY,12/31/2004,SH,3714285,147940000,0,0,2.4789,,9,999999,,new,CONSUMER DISCRETIONARY
LONE PINE CAPITAL LLC,JPMorgan Chase & Co. (Chemical Bank),JPM,12/31/2004,SH,3788161,147776000,0,0,2.4762,,10,999999,,new,FINANCE
LONE PINE CAPITAL LLC,"Best Buy Co., Inc.",BBY,12/31/2004,SH,3714000,147124000,0,0,2.4652,,11,999999,,new,CONSUMER DISCRETIONARY
LONE PINE CAPITAL LLC,Blackberry Ltd,BB,12/31/2004,SH,5151900,141540000,0,0,2.3717,,12,999999,,new,INFORMATION TECHNOLOGY
LONE PINE CAPITAL LLC,"Toll Brothers, Inc.",TOL,12/31/2004,SH,4043600,138716000,0,0,2.3244,,13,999999,,new,CONSUMER DISCRETIONARY
LONE PINE CAPITAL LLC,Golden West Financial,GDW,12/31/2004,SH,2252400,138342000,0,0,2.3181,,14,999999,,new,FINANCE
LONE PINE CAPITAL LLC,Strategic Education Inc. (Strayer Education),STRA,12/31/2004,SH,1221551,134114000,0,0,2.2472,,15,999999,,new,CONSUMER DISCRETIONARY
LONE PINE CAPITAL LLC,Pultegroup Inc,PHM,12/31/2004,SH,3914000,124857000,0,0,2.0921,,16,999999,,new,CONSUMER DISCRETIONARY
