Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector
ODEY HOLDINGS AG,Apple Inc,AAPL,3/31/2015,SH,7275,905000,0,0,9.1953,,1,999999,,new,INFORMATION TECHNOLOGY
ODEY HOLDINGS AG,Microsoft Corp.,MSFT,3/31/2015,SH,19050,775000,0,0,7.8744,,2,999999,,new,INFORMATION TECHNOLOGY
ODEY HOLDINGS AG,Wheaton Precious Metals Corp,WPM,3/31/2015,SH,39600,753000,0,0,7.6509,,3,999999,,new,MATERIALS
ODEY HOLDINGS AG,Charles Schwab Corp,SCHW,3/31/2015,SH,20350,619000,0,0,6.2894,,4,999999,,new,FINANCE
ODEY HOLDINGS AG,Discover Financial Services,DFS,3/31/2015,SH,10250,578000,0,0,5.8728,,5,999999,,new,FINANCE
ODEY HOLDINGS AG,Dollar Tree Inc.,DLTR,3/31/2015,SH,6960,565000,0,0,5.7407,,6,999999,,new,CONSUMER DISCRETIONARY
ODEY HOLDINGS AG,"Home Depot, Inc. (The)",HD,3/31/2015,SH,4700,534000,0,0,5.4257,,7,999999,,new,CONSUMER DISCRETIONARY
ODEY HOLDINGS AG,"International Flavors and Fragrances, Inc.",IFF,3/31/2015,SH,4270,501000,0,0,5.0904,,8,999999,,new,MATERIALS
ODEY HOLDINGS AG,FactSet Research Systems Inc,FDS,3/31/2015,SH,3090,492000,0,0,4.999,,9,999999,,new,INFORMATION TECHNOLOGY
ODEY HOLDINGS AG,V.F. Corp. (Vanity Fair Mills Inc.),VFC,3/31/2015,SH,6499.44,461000,0,0,4.684,,10,999999,,new,CONSUMER DISCRETIONARY
ODEY HOLDINGS AG,NIKE Inc.,NKE,3/31/2015,SH,8920,447000,0,0,4.5418,,11,999999,,new,CONSUMER DISCRETIONARY
ODEY HOLDINGS AG,Smucker (J.M.) Co.,SJM,3/31/2015,SH,3860,447000,0,0,4.5418,,12,999999,,new,CONSUMER STAPLES
ODEY HOLDINGS AG,Moodys Corp,MCO,3/31/2015,SH,4220,438000,0,0,4.4503,,13,999999,,new,FINANCE
ODEY HOLDINGS AG,Goldman Sachs Group Inc,GS,3/31/2015,SH,2250,423000,0,0,4.2979,,14,999999,,new,FINANCE
ODEY HOLDINGS AG,Capri Holdings Ltd (Michael Kors Holdings),CPRI,3/31/2015,SH,6300,414000,0,0,4.2065,,15,999999,,new,INDUSTRIALS
ODEY HOLDINGS AG,Gilead Sciences Inc.,GILD,3/31/2015,SH,4200,412000,0,0,4.1861,,16,999999,,new,HEALTH CARE
