Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector
SOROS FUND MANAGEMENT LLC,Invesco QQQ Trust Series 1,QQQ,3/31/2001,SH,15600000,610740000,0,0,25.6599,,1,999999,,new,FINANCE
SOROS FUND MANAGEMENT LLC,CIT Group Inc. (2002),CIT,3/31/2001,SH,3999000,115491000,0,0,4.8523,,2,999999,,new,FINANCE
SOROS FUND MANAGEMENT LLC,VoiceStream Wireless Corp.,VSTR,3/31/2001,SH,1154793,106674000,0,0,4.4819,,3,999999,,new,Communications
SOROS FUND MANAGEMENT LLC,Transmeta Corp,TMTA,3/31/2001,SH,2657880,102328000,0,0,4.2993,,4,999999,,new,INFORMATION TECHNOLOGY
SOROS FUND MANAGEMENT LLC,Analog Devices Inc,ADI,3/31/2001,PRN,81815000,72099000,0,0,3.0292,,5,999999,,new,INFORMATION TECHNOLOGY
SOROS FUND MANAGEMENT LLC,Texaco Inc.,TX,3/31/2001,SH,930800,61805000,0,0,2.5967,,6,999999,,new,ENERGY
SOROS FUND MANAGEMENT LLC,MCN Energy Group Inc.,MCN,3/31/2001,SH,2167150,55912000,0,0,2.3491,,7,999999,,new,ENERGY
SOROS FUND MANAGEMENT LLC,Alza Corp,AZA.A,3/31/2001,SH,1267500,51334000,0,0,2.1568,,8,999999,,new,HEALTH CARE
SOROS FUND MANAGEMENT LLC,Johnson Controls International plc (Tyco Laboratories),JCI,3/31/2001,PRN,31891480.1,48804000,0,0,2.0505,,9,999999,,new,INDUSTRIALS
SOROS FUND MANAGEMENT LLC,Solectron Corp.,SLR,3/31/2001,PRN,88450000,43895000,0,0,1.8442,,10,999999,,new,INFORMATION TECHNOLOGY
SOROS FUND MANAGEMENT LLC,Goodrich Corporation,GR,3/31/2001,SH,1025900,39364000,0,0,1.6539,,11,999999,,new,INDUSTRIALS
SOROS FUND MANAGEMENT LLC,Praecis Pharmaceuticals Inc,PRCS,3/31/2001,SH,388502.8,38729000,0,0,1.6272,,12,999999,,new,HEALTH CARE
SOROS FUND MANAGEMENT LLC,Juniper Networks Inc,JNPR,3/31/2001,PRN,39116000,28261000,0,0,1.1874,,13,999999,,new,INFORMATION TECHNOLOGY
SOROS FUND MANAGEMENT LLC,"MGM Resorts International, Inc.",MGM,3/31/2001,SH,2199400,27603000,0,0,1.1597,,14,999999,,new,CONSUMER DISCRETIONARY
SOROS FUND MANAGEMENT LLC,Apex Silver Mines Ltd,AUMN,3/31/2001,SH,3405071,27104000,0,0,1.1388,,15,999999,,new,MATERIALS
SOROS FUND MANAGEMENT LLC,Rational Software Corp.,RATL,3/31/2001,PRN,30400000,25536000,0,0,1.0729,,16,999999,,new,INFORMATION TECHNOLOGY
SOROS FUND MANAGEMENT LLC,Axcan Pharma Inc,AXCA,3/31/2001,SH,2500000,23438000,0,0,0.9847,,17,999999,,new,HEALTH CARE
SOROS FUND MANAGEMENT LLC,Nabors Industries Ltd.,NBR,3/31/2001,SH,16212.32,21011000,0,0,0.8828,,18,999999,,new,ENERGY
SOROS FUND MANAGEMENT LLC,Wind River Systems Inc.,WIND,3/31/2001,PRN,21040000,20882000,0,0,0.8773,,19,999999,,new,INFORMATION TECHNOLOGY
SOROS FUND MANAGEMENT LLC,Rogers Communications Inc. Class B (NYSE),RCI,3/31/2001,PRN,56000000,20790000,0,0,0.8735,,20,999999,,new,COMMUNICATIONS
SOROS FUND MANAGEMENT LLC,Cypress Semiconductor Corp,CY,3/31/2001,PRN,120315000,20780000,0,0,0.8731,,21,999999,,new,INFORMATION TECHNOLOGY
