Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector
CYPRESS FUNDS LLC,Adelphia Communications Corp.,ADELQ,2001-03-31,SH,150000.0,6075000.0,0.0,0.0,83.3448,,1,999999,,new,CONSUMER DISCRETIONARY
CYPRESS FUNDS LLC,Apple Inc,AAPL,2001-03-31,SH,770000.0,1214000.0,0.0,0.0,16.6552,,2,999999,,new,INFORMATION TECHNOLOGY
CYPRESS FUNDS LLC,Johnson & Johnson Co.,JNJ,2001-06-30,SH,320000.0,16000000.0,0.0,0.0,18.3516,,1,999999,,new,HEALTH CARE
CYPRESS FUNDS LLC,"American International Group, Inc.",AIG,2001-06-30,SH,8250.0,14190000.0,0.0,0.0,16.2755,,2,999999,,new,FINANCE
CYPRESS FUNDS LLC,Bristol-Myers Squibb Co,BMY,2001-06-30,SH,230000.0,12029000.0,0.0,0.0,13.7969,,3,999999,,new,HEALTH CARE
CYPRESS FUNDS LLC,Taiwan Semiconductor Manufacturing Co Ltd ADR,TSM,2001-06-30,SH,679000.0,10314000.0,0.0,0.0,11.8299,,4,999999,,new,INFORMATION TECHNOLOGY
CYPRESS FUNDS LLC,United Microelectronics Corp. ADR,UMC,2001-06-30,SH,8375571666.0,10280000.0,0.0,0.0,11.7909,,5,999999,,new,INFORMATION TECHNOLOGY
CYPRESS FUNDS LLC,COMCAST HLDGS INC ZERO PREM OPT NT,CCZMP,2001-06-30,SH,220000.0,9548000.0,0.0,0.0,10.9513,,6,999999,,new, 
CYPRESS FUNDS LLC,"Charter Communications, Inc. (Old) Class A",CHTRQ,2001-06-30,SH,332500.0,7764000.0,0.0,0.0,8.9051,,7,999999,,new,CONSUMER DISCRETIONARY
CYPRESS FUNDS LLC,CompuWare Corp.,CPWR,2001-06-30,SH,305000.0,4267000.0,0.0,0.0,4.8941,,8,999999,,new,INFORMATION TECHNOLOGY
CYPRESS FUNDS LLC,Vignette Corp,VIGN,2001-06-30,SH,315000.0,2794000.0,0.0,0.0,3.2046,,9,999999,,new,INFORMATION TECHNOLOGY
CYPRESS FUNDS LLC,Adelphia Communications Corp.,ADELQ,2001-06-30,SH,0.0,0.0,150000.0,6075000.0,,83.3448,999999,1,-100.0,soldall,CONSUMER DISCRETIONARY
CYPRESS FUNDS LLC,Apple Inc,AAPL,2001-06-30,SH,0.0,0.0,770000.0,1214000.0,,16.6552,999999,2,-100.0,soldall,INFORMATION TECHNOLOGY
CYPRESS FUNDS LLC,Devon Energy Corp.,DVN,2001-12-31,CALL,912000.0,17625000.0,0.0,0.0,5.938,,1,999999,,new,ENERGY
CYPRESS FUNDS LLC,KCG Holdings Inc,KCG,2001-12-31,SH,1278850.0,14093000.0,0.0,0.0,4.748,,2,999999,,new,FINANCE
CYPRESS FUNDS LLC,Cablevision Systems Corp. Class A,CVC,2001-12-31,SH,273700.0,12987000.0,0.0,0.0,4.3754,,3,999999,,new,CONSUMER DISCRETIONARY
CYPRESS FUNDS LLC,Costco Co.,COST,2001-12-31,SH,275900.0,12244000.0,0.0,0.0,4.1251,,5,999999,,new,CONSUMER STAPLES
CYPRESS FUNDS LLC,Hilton Hotels Corp.,HLT,2001-12-31,SH,937400.0,10236000.0,0.0,0.0,3.4486,,6,999999,,new,CONSUMER DISCRETIONARY
CYPRESS FUNDS LLC,"Freeport-McMoRan Copper & Gold, Inc",FCX,2001-12-31,SH,1489350.0,9971000.0,0.0,0.0,3.3593,,7,999999,,new,MATERIALS
CYPRESS FUNDS LLC,Patterson-UTI Energy Inc,PTEN,2001-12-31,SH,820250.0,9560000.0,0.0,0.0,3.2208,,8,999999,,new,ENERGY
CYPRESS FUNDS LLC,"Grant Prideco, Inc.",GRP,2001-12-31,SH,792200.0,9110000.0,0.0,0.0,3.0692,,9,999999,,new,ENERGY
CYPRESS FUNDS LLC,Crown Castle International Corp,CCI,2001-12-31,SH,851000.0,9089000.0,0.0,0.0,3.0621,,10,999999,,new,UTILITIES AND TELECOMMUNICATIONS
CYPRESS FUNDS LLC,"Charter Communications, Inc. (Old) Class A",CHTRQ,2001-12-31,SH,525200.0,8629000.0,0.0,0.0,2.9072,,11,999999,,new,CONSUMER DISCRETIONARY
CYPRESS FUNDS LLC,American Express Co,AXP,2001-12-31,SH,235300.0,8398000.0,0.0,0.0,2.8293,,12,999999,,new,FINANCE
CYPRESS FUNDS LLC,BJ Services Co.,BJS,2001-12-31,SH,516600.0,8382000.0,0.0,0.0,2.824,,13,999999,,new,ENERGY
CYPRESS FUNDS LLC,Southwest Airlines Co.,LUV,2001-12-31,SH,434900.0,8037000.0,0.0,0.0,2.7077,,14,999999,,new,TRANSPORTS
CYPRESS FUNDS LLC,Chubb Limited,CB,2001-12-31,SH,199200.0,7998000.0,0.0,0.0,2.6946,,15,999999,,new,FINANCE
CYPRESS FUNDS LLC,First Data Corp.,FDC,2001-12-31,SH,194000.0,7610000.0,0.0,0.0,2.5639,,16,999999,,new,INFORMATION TECHNOLOGY
CYPRESS FUNDS LLC,Nabors Industries Ltd.,NBR,2001-12-31,SH,8576.0,7360000.0,0.0,0.0,2.4796,,17,999999,,new,ENERGY
CYPRESS FUNDS LLC,Johnson & Johnson Co.,JNJ,2001-12-31,SH,118000.0,6974000.0,0.0,0.0,2.3496,,18,999999,,new,HEALTH CARE
CYPRESS FUNDS LLC,HLTH Corp,HLTH,2001-12-31,SH,950400.0,6710000.0,0.0,0.0,2.2606,,19,999999,,new,HEALTH CARE
CYPRESS FUNDS LLC,"National Oilwell Varco, Inc.",NOV,2001-12-31,SH,649600.0,6694000.0,0.0,0.0,2.2553,,20,999999,,new,ENERGY
CYPRESS FUNDS LLC,"Four Seasons Hotels, Inc.",FS,2001-12-31,SH,135100.0,6317000.0,0.0,0.0,2.1282,,21,999999,,new,CONSUMER DISCRETIONARY
CYPRESS FUNDS LLC,Principal Financial Group,PFG,2001-12-31,SH,261950.0,6287000.0,0.0,0.0,2.1181,,22,999999,,new,FINANCE
CYPRESS FUNDS LLC,Cameron International Corp.,CAM,2001-12-31,SH,616000.0,6215000.0,0.0,0.0,2.0939,,23,999999,,new,ENERGY
CYPRESS FUNDS LLC,Exelixis Inc,EXEL,2001-12-31,SH,361000.0,6000000.0,0.0,0.0,2.0214,,24,999999,,new,HEALTH CARE
CYPRESS FUNDS LLC,Devon Energy Corp.,DVN,2001-12-31,SH,299400.0,5786000.0,0.0,0.0,1.9493,,25,999999,,new,ENERGY
CYPRESS FUNDS LLC,Emulex Corp.,ELX,2001-12-31,SH,138200.0,5460000.0,0.0,0.0,1.8395,,26,999999,,new,INFORMATION TECHNOLOGY
CYPRESS FUNDS LLC,HCA Inc. (New),HCA,2001-12-31,SH,125000.0,4818000.0,0.0,0.0,1.6232,,27,999999,,new,HEALTH CARE
CYPRESS FUNDS LLC,AES Corp. (The),AES,2001-12-31,CALL,286200.0,4679000.0,0.0,0.0,1.5764,,28,999999,,new,UTILITIES AND TELECOMMUNICATIONS
CYPRESS FUNDS LLC,"Biomet, Inc.",BMET,2001-12-31,SH,150000.0,4635000.0,0.0,0.0,1.5616,,29,999999,,new,HEALTH CARE
CYPRESS FUNDS LLC,AES Corp. (The),AES,2001-12-31,SH,249800.0,4084000.0,0.0,0.0,1.3759,,30,999999,,new,UTILITIES AND TELECOMMUNICATIONS
CYPRESS FUNDS LLC,Integrated Device Technology Inc.,IDTI,2001-12-31,SH,151400.0,4026000.0,0.0,0.0,1.3564,,31,999999,,new,INFORMATION TECHNOLOGY
CYPRESS FUNDS LLC,INFORMATICA CORP,INFA,2001-12-31,SH,276300.0,4009000.0,0.0,0.0,1.3507,,32,999999,,new,INFORMATION TECHNOLOGY
CYPRESS FUNDS LLC,SANDISK CORP,SNDK,2001-12-31,SH,518200.0,3731000.0,0.0,0.0,1.257,,33,999999,,new,INFORMATION TECHNOLOGY
CYPRESS FUNDS LLC,Stolt Offshore S A Ordinary,SCSWF,2001-12-31,SH,413600.0,3722000.0,0.0,0.0,1.254,,34,999999,,new,INDUSTRIALS
CYPRESS FUNDS LLC,XTO Energy Inc.,XTO,2001-12-31,SH,472684.7,2978000.0,0.0,0.0,1.0033,,35,999999,,new,ENERGY
CYPRESS FUNDS LLC,Grey Wolf Inc,GW,2001-12-31,SH,912800.0,2711000.0,0.0,0.0,0.9134,,36,999999,,new,ENERGY
CYPRESS FUNDS LLC,Marvell Technology Group Ltd,MRVL,2001-12-31,SH,300000.0,2687000.0,0.0,0.0,0.9053,,37,999999,,new,INFORMATION TECHNOLOGY
CYPRESS FUNDS LLC,Eclipsys Corp.,ECLP,2001-12-31,SH,150000.0,2513000.0,0.0,0.0,0.8466,,38,999999,,new,HEALTH CARE
CYPRESS FUNDS LLC,"XM Satellite Radio Holdings Inc, Class A",XMSR,2001-12-31,SH,123200.0,2262000.0,0.0,0.0,0.7621,,39,999999,,new,CONSUMER DISCRETIONARY
CYPRESS FUNDS LLC,ARAMARK Corp. Class B,RMK,2001-12-31,SH,80700.0,2171000.0,0.0,0.0,0.7314,,40,999999,,new,INDUSTRIALS
CYPRESS FUNDS LLC,"ARCH COAL, INC. (XNYS TO: XNAS)",ACIIQ,2001-12-31,SH,16760.0,1902000.0,0.0,0.0,0.6408,,41,999999,,new,ENERGY
CYPRESS FUNDS LLC,Massey Energy Company,MEE,2001-12-31,SH,91100.0,1889000.0,0.0,0.0,0.6364,,42,999999,,new,ENERGY
CYPRESS FUNDS LLC,McData Corp,MCDTA,2001-12-31,SH,75000.0,1838000.0,0.0,0.0,0.6192,,43,999999,,new,INFORMATION TECHNOLOGY
