Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector
GILDER GAGNON HOWE & COMPANY LLC,Gemstar-TV Guide International Inc.,GMST,2001-03-31,SH,3831528.0,110156430.0,0.0,0.0,5.7473,,1,999999,,new,INFORMATION TECHNOLOGY
GILDER GAGNON HOWE & COMPANY LLC,"Travelers Companies, Inc. (The) (St. Paul Fire and Marine Insurance)",TRV,2001-03-31,SH,1607865.0,70826453.0,0.0,0.0,3.6953,,2,999999,,new,FINANCE
GILDER GAGNON HOWE & COMPANY LLC,Dominion Energy Inc,D,2001-03-31,SH,1984180.0,63960042.0,0.0,0.0,3.337,,3,999999,,new,UTILITIES AND TELECOMMUNICATIONS
GILDER GAGNON HOWE & COMPANY LLC,"Dish Network Corp, Class A",DISH,2001-03-31,SH,2190606.0,60653344.0,0.0,0.0,3.1645,,4,999999,,new,COMMUNICATIONS
GILDER GAGNON HOWE & COMPANY LLC,Six Flags Inc,SIXFQ.OB,2001-03-31,SH,2974422.0,57555066.0,0.0,0.0,3.0029,,5,999999,,new,CONSUMER DISCRETIONARY
GILDER GAGNON HOWE & COMPANY LLC,HCA Inc. (New),HCA,2001-03-31,SH,1359976.0,54766234.0,0.0,0.0,2.8574,,6,999999,,new,HEALTH CARE
GILDER GAGNON HOWE & COMPANY LLC,"Unum Group, Inc.",UNM,2001-03-31,SH,1764113.0,51547382.0,0.0,0.0,2.6894,,7,999999,,new,FINANCE
GILDER GAGNON HOWE & COMPANY LLC,Metromedia Fiber Network Inc,MFNXQ,2001-03-31,SH,8483188.0,46487870.0,0.0,0.0,2.4255,,8,999999,,new,INFORMATION TECHNOLOGY
GILDER GAGNON HOWE & COMPANY LLC,Ibis Technology Corp,IBIS,2001-03-31,SH,1590185.0,43730088.0,0.0,0.0,2.2816,,9,999999,,new,INFORMATION TECHNOLOGY
GILDER GAGNON HOWE & COMPANY LLC,Berkeley (W.R.) Corp.,WRB,2001-03-31,SH,7158134.55,42477961.0,0.0,0.0,2.2162,,10,999999,,new,FINANCE
GILDER GAGNON HOWE & COMPANY LLC,Solectron Corp.,SLR,2001-03-31,SH,2067154.0,39296598.0,0.0,0.0,2.0503,,11,999999,,new,INFORMATION TECHNOLOGY
GILDER GAGNON HOWE & COMPANY LLC,First American Corp (The),FAF,2001-03-31,SH,1496535.0,38909910.0,0.0,0.0,2.0301,,12,999999,,new,FINANCE
GILDER GAGNON HOWE & COMPANY LLC,"Active Power, Inc. ",PIOI,2001-03-31,SH,350620.4,35610761.0,0.0,0.0,1.858,,13,999999,,new,INDUSTRIALS
GILDER GAGNON HOWE & COMPANY LLC,L3 Technologies Inc,LLL,2001-03-31,SH,879722.65,33346506.0,0.0,0.0,1.7398,,15,999999,,new,INDUSTRIALS
GILDER GAGNON HOWE & COMPANY LLC,XTO Energy Inc.,XTO,2001-03-31,SH,5272390.54,31319566.0,0.0,0.0,1.6341,,16,999999,,new,ENERGY
