Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector
"GOODNOW INVESTMENT GROUP, LLC",Berkshire Hathaway Inc Class A,BRK.A,2006-03-31,SH,360.0,32526000.0,0.0,0.0,10.7634,,1,999999,,new,FINANCE
"GOODNOW INVESTMENT GROUP, LLC",Laboratory Corp of America Holdings,LH,2006-03-31,SH,265275.0,15513000.0,0.0,0.0,5.1335,,2,999999,,new,HEALTH CARE
"GOODNOW INVESTMENT GROUP, LLC","Dish Network Corp, Class A",DISH,2006-03-31,SH,486123.0,14520000.0,0.0,0.0,4.8049,,3,999999,,new,COMMUNICATIONS
"GOODNOW INVESTMENT GROUP, LLC",Vicor Corp,VICR,2006-03-31,SH,732376.0,14450000.0,0.0,0.0,4.7817,,4,999999,,new,INDUSTRIALS
"GOODNOW INVESTMENT GROUP, LLC",Medco Health Solutions Inc.,MHS,2006-03-31,SH,494538.0,14149000.0,0.0,0.0,4.6821,,5,999999,,new,HEALTH CARE
"GOODNOW INVESTMENT GROUP, LLC","Genesee & Wyoming Inc, Class A",GWR,2006-03-31,SH,452293.0,13876000.0,0.0,0.0,4.5918,,6,999999,,new,TRANSPORTS
"GOODNOW INVESTMENT GROUP, LLC",Amphenol Corp. (1987),APH,2006-03-31,SH,1043176.0,13608000.0,0.0,0.0,4.5031,,7,999999,,new,INFORMATION TECHNOLOGY
"GOODNOW INVESTMENT GROUP, LLC",Sealed Air Corp.,SEE,2006-03-31,SH,414874.0,12004000.0,0.0,0.0,3.9723,,8,999999,,new,MATERIALS
"GOODNOW INVESTMENT GROUP, LLC",Credit Acceptance Corp.,CACC,2006-03-31,SH,484947.0,11396000.0,0.0,0.0,3.7711,,9,999999,,new,FINANCE
"GOODNOW INVESTMENT GROUP, LLC",Tektronix Inc.,TEK,2006-03-31,SH,316962.0,11319000.0,0.0,0.0,3.7456,,10,999999,,new,INFORMATION TECHNOLOGY
"GOODNOW INVESTMENT GROUP, LLC",PETSMART INC,PETM,2006-03-31,SH,354776.0,9983000.0,0.0,0.0,3.3035,,11,999999,,new,CONSUMER DISCRETIONARY
"GOODNOW INVESTMENT GROUP, LLC",iMedia Brands Inc,IMBI,2006-03-31,SH,74470.6,9517000.0,0.0,0.0,3.1493,,12,999999,,new,CONSUMER DISCRETIONARY
"GOODNOW INVESTMENT GROUP, LLC",Copart Inc.,CPRT,2006-03-31,SH,1372400.0,9418000.0,0.0,0.0,3.1166,,13,999999,,new,INDUSTRIALS
"GOODNOW INVESTMENT GROUP, LLC",Alphabet Inc. Class A,GOOGL,2006-03-31,SH,23500.0,9165000.0,0.0,0.0,3.0329,,14,999999,,new,COMMUNICATIONS
"GOODNOW INVESTMENT GROUP, LLC",SEI Investments Co.,SEIC,2006-03-31,SH,443672.0,8991000.0,0.0,0.0,2.9753,,15,999999,,new,FINANCE
"GOODNOW INVESTMENT GROUP, LLC",Discovery Inc Series A,DISCA,2006-03-31,SH,517336.0,7760000.0,0.0,0.0,2.5679,,16,999999,,new,COMMUNICATIONS
"GOODNOW INVESTMENT GROUP, LLC",MATCH GROUP,IAC,2006-03-31,SH,1035537.69,7604000.0,0.0,0.0,2.5163,,17,999999,,new,CONSUMER DISCRETIONARY
"GOODNOW INVESTMENT GROUP, LLC",Harman International Industries,HAR,2006-03-31,SH,67952.0,7552000.0,0.0,0.0,2.4991,,18,999999,,new,CONSUMER DISCRETIONARY
"GOODNOW INVESTMENT GROUP, LLC",Lionbridge Technologies Inc.,LIOX,2006-03-31,SH,890525.0,7044000.0,0.0,0.0,2.331,,19,999999,,new,INFORMATION TECHNOLOGY
"GOODNOW INVESTMENT GROUP, LLC","Orbital ATK, Inc.",OA,2006-03-31,SH,87644.0,6763000.0,0.0,0.0,2.238,,20,999999,,new,INDUSTRIALS
"GOODNOW INVESTMENT GROUP, LLC",Liberty Global plc Class A,LBTYA,2006-03-31,SH,314016.0,6428000.0,0.0,0.0,2.1271,,21,999999,,new,COMMUNICATIONS
"GOODNOW INVESTMENT GROUP, LLC",Liberty Global plc Class C,LBTYK,2006-03-31,SH,628012.0,6202000.0,0.0,0.0,2.0523,,22,999999,,new,COMMUNICATIONS
"GOODNOW INVESTMENT GROUP, LLC",Lennar Corp. Class A,LEN,2006-03-31,SH,92638.53,5500000.0,0.0,0.0,1.82,,23,999999,,new,CONSUMER DISCRETIONARY
"GOODNOW INVESTMENT GROUP, LLC",Regal Beloit Corp,RBC,2006-03-31,SH,125550.0,5307000.0,0.0,0.0,1.7562,,24,999999,,new,INDUSTRIALS
"GOODNOW INVESTMENT GROUP, LLC",Sumtotal Systems Inc,SUMT,2006-03-31,SH,895952.0,4525000.0,0.0,0.0,1.4974,,25,999999,,new,INFORMATION TECHNOLOGY
"GOODNOW INVESTMENT GROUP, LLC",Destination XL Group Inc.,DXLG,2006-03-31,SH,448197.0,4365000.0,0.0,0.0,1.4445,,26,999999,,new,CONSUMER DISCRETIONARY
"GOODNOW INVESTMENT GROUP, LLC",CarMax Inc.,KMX,2006-03-31,SH,254220.0,4154000.0,0.0,0.0,1.3746,,27,999999,,new,CONSUMER DISCRETIONARY
"GOODNOW INVESTMENT GROUP, LLC",Rinker Group Ltd. ADS,RIN,2006-03-31,SH,56698.0,3990000.0,0.0,0.0,1.3204,,28,999999,,new,MATERIALS
"GOODNOW INVESTMENT GROUP, LLC","Circor International, Inc",CIR,2006-03-31,SH,122001.0,3562000.0,0.0,0.0,1.1787,,29,999999,,new,INDUSTRIALS
"GOODNOW INVESTMENT GROUP, LLC",Carpenter Technology Corp.,CRS,2006-03-31,SH,67600.0,3195000.0,0.0,0.0,1.0573,,30,999999,,new,MATERIALS
"GOODNOW INVESTMENT GROUP, LLC",Blackberry Ltd,BB,2006-03-31,SH,81720.0,2312000.0,0.0,0.0,0.7651,,31,999999,,new,INFORMATION TECHNOLOGY
"GOODNOW INVESTMENT GROUP, LLC",Readers Digest Association Class A,RDA,2006-03-31,SH,140000.0,2065000.0,0.0,0.0,0.6833,,32,999999,,new,CONSUMER DISCRETIONARY
"GOODNOW INVESTMENT GROUP, LLC",World Air Holdings Inc.,WLDA.PK,2006-03-31,SH,206500.0,2028000.0,0.0,0.0,0.6711,,33,999999,,new,TRANSPORTS
"GOODNOW INVESTMENT GROUP, LLC",Motors Liquidation Corp. (Old General Motors Corp.),MTLQQ,2006-03-31,SH,94923.0,2019000.0,0.0,0.0,0.6681,,34,999999,,new,CONSUMER DISCRETIONARY
"GOODNOW INVESTMENT GROUP, LLC",POWERWAVE TECHNOLOGIES INC COM STK,PWAVQ,2006-03-31,SH,26000.0,1754000.0,0.0,0.0,0.5804,,35,999999,,new,INFORMATION TECHNOLOGY
"GOODNOW INVESTMENT GROUP, LLC",Huttig Building Products Inc,HBP,2006-03-31,SH,187341.0,1744000.0,0.0,0.0,0.5771,,36,999999,,new,INDUSTRIALS
"GOODNOW INVESTMENT GROUP, LLC",Kindred Healthcare Inc,KND,2006-03-31,SH,50000.0,1258000.0,0.0,0.0,0.4163,,37,999999,,new,HEALTH CARE
"GOODNOW INVESTMENT GROUP, LLC",Eddie Bauer Holdings Inc,EBHIQ,2006-03-31,SH,94500.0,1219000.0,0.0,0.0,0.4034,,38,999999,,new,CONSUMER DISCRETIONARY
"GOODNOW INVESTMENT GROUP, LLC",American Axle & Manufacturing Holdings Inc,AXL,2006-03-31,SH,70000.0,1199000.0,0.0,0.0,0.3968,,39,999999,,new,CONSUMER DISCRETIONARY
"GOODNOW INVESTMENT GROUP, LLC",Overstock.Com Inc,OSTK,2006-03-31,SH,30000.0,895000.0,0.0,0.0,0.2962,,40,999999,,new,CONSUMER DISCRETIONARY
"GOODNOW INVESTMENT GROUP, LLC","PECO Energy Co., $4.40 Series Cumulative Preferred Stock",PE-PC,2006-03-31,SH,3800.0,326000.0,0.0,0.0,0.1079,,41,999999,,new,Utilities
"GOODNOW INVESTMENT GROUP, LLC",Lennar Corp. Class B,LEN.B,2006-03-31,SH,5773.2,316000.0,0.0,0.0,0.1046,,42,999999,,new,CONSUMER DISCRETIONARY
"GOODNOW INVESTMENT GROUP, LLC","Connecticut Light & Power Co., $2.09 Series F of 1955 Preferred Stock",CNPWM,2006-03-31,SH,8575.0,296000.0,0.0,0.0,0.098,,43,999999,,new,UTILITIES AND TELECOMMUNICATIONS
"GOODNOW INVESTMENT GROUP, LLC",Market Leader Inc,LEDR,2006-03-31,SH,25000.0,206000.0,0.0,0.0,0.0682,,44,999999,,new,FINANCE
"GOODNOW INVESTMENT GROUP, LLC",Standard Motor Products Inc. Class A,SMP,2006-03-31,SH,18900.0,168000.0,0.0,0.0,0.0556,,45,999999,,new,CONSUMER DISCRETIONARY
"GOODNOW INVESTMENT GROUP, LLC",Berkshire Hathaway Inc Class A,BRK.A,2006-06-30,SH,360.0,32997000.0,360.0,32526000.0,10.3096,10.7634,1,1,0.0,,FINANCE
"GOODNOW INVESTMENT GROUP, LLC",Laboratory Corp of America Holdings,LH,2006-06-30,SH,266213.0,16566000.0,265275.0,15513000.0,5.1759,5.1335,2,2,0.353595,addition,HEALTH CARE
"GOODNOW INVESTMENT GROUP, LLC",Amphenol Corp. (1987),APH,2006-06-30,SH,1145896.0,16031000.0,1043176.0,13608000.0,5.0087,4.5031,3,7,9.846852,addition,INFORMATION TECHNOLOGY
"GOODNOW INVESTMENT GROUP, LLC","Genesee & Wyoming Inc, Class A",GWR,2006-06-30,SH,441768.0,15670000.0,452293.0,13876000.0,4.896,4.5918,4,6,-2.327031,reduction,TRANSPORTS
"GOODNOW INVESTMENT GROUP, LLC","Dish Network Corp, Class A",DISH,2006-06-30,SH,486123.0,14977000.0,486123.0,14520000.0,4.6794,4.8049,5,3,0.0,,COMMUNICATIONS
"GOODNOW INVESTMENT GROUP, LLC",Credit Acceptance Corp.,CACC,2006-06-30,SH,525249.0,14255000.0,484947.0,11396000.0,4.4539,3.7711,6,9,8.310599,addition,FINANCE
"GOODNOW INVESTMENT GROUP, LLC",Vicor Corp,VICR,2006-06-30,SH,849992.0,14084000.0,732376.0,14450000.0,4.4004,4.7817,7,4,16.05951,addition,INDUSTRIALS
"GOODNOW INVESTMENT GROUP, LLC",Medco Health Solutions Inc.,MHS,2006-06-30,SH,467158.0,13379000.0,494538.0,14149000.0,4.1802,4.6821,8,5,-5.536481,reduction,HEALTH CARE
"GOODNOW INVESTMENT GROUP, LLC",SEI Investments Co.,SEIC,2006-06-30,SH,445264.0,10882000.0,443672.0,8991000.0,3.4,2.9753,9,15,0.358824,addition,FINANCE
