Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector
"RICE HALL JAMES & ASSOCIATES, LLC",Reynolds and Reynolds Co. Class A,REY,2003-03-31,SH,1564345.0,39578000.0,0.0,0.0,2.7981,,1,999999,,new,INFORMATION TECHNOLOGY
"RICE HALL JAMES & ASSOCIATES, LLC",R. H. Donnelley Corp.,RHDCQ,2003-03-31,SH,1226196.0,36393000.0,0.0,0.0,2.5729,,2,999999,,new,CONSUMER DISCRETIONARY
"RICE HALL JAMES & ASSOCIATES, LLC",Key Energy Services Inc,KEGX,2003-03-31,SH,335.78,33846000.0,0.0,0.0,2.3928,,3,999999,,new,ENERGY
"RICE HALL JAMES & ASSOCIATES, LLC",Tidewater Inc.,TDW,2003-03-31,SH,33340.78,30889000.0,0.0,0.0,2.1838,,4,999999,,new,ENERGY
"RICE HALL JAMES & ASSOCIATES, LLC",Noble Energy Inc,NBL,2003-03-31,SH,3477936.0,29815000.0,0.0,0.0,2.1079,,5,999999,,new,ENERGY
"RICE HALL JAMES & ASSOCIATES, LLC","AutoNation, Inc. (Republic Industries)",AN,2003-03-31,SH,2309058.0,29440000.0,0.0,0.0,2.0814,,6,999999,,new,CONSUMER DISCRETIONARY
"RICE HALL JAMES & ASSOCIATES, LLC",Harman International Industries,HAR,2003-03-31,SH,1002366.0,29354000.0,0.0,0.0,2.0753,,7,999999,,new,CONSUMER DISCRETIONARY
"RICE HALL JAMES & ASSOCIATES, LLC","Speedway Motorsports, Inc.",TRK,2003-03-31,SH,1225462.0,28909000.0,0.0,0.0,2.0438,,8,999999,,new,CONSUMER DISCRETIONARY
"RICE HALL JAMES & ASSOCIATES, LLC",Zebra Technologies Corp,ZBRA,2003-03-31,SH,994014.0,28451000.0,0.0,0.0,2.0114,,9,999999,,new,INFORMATION TECHNOLOGY
"RICE HALL JAMES & ASSOCIATES, LLC","Valassis Communications, Inc.",VCI,2003-03-31,SH,1049335.0,27702000.0,0.0,0.0,1.9585,,10,999999,,new,CONSUMER DISCRETIONARY
"RICE HALL JAMES & ASSOCIATES, LLC",Republic Services Inc.,RSG,2003-03-31,SH,1977282.0,26153000.0,0.0,0.0,1.849,,11,999999,,new,INDUSTRIALS
"RICE HALL JAMES & ASSOCIATES, LLC",Life Technologies Corp.,LIFE,2003-03-31,SH,1697836.0,26002000.0,0.0,0.0,1.8383,,12,999999,,new,HEALTH CARE
"RICE HALL JAMES & ASSOCIATES, LLC",OReilly Automotive Inc.,ORLY,2003-03-31,SH,1767638.0,23925000.0,0.0,0.0,1.6915,,13,999999,,new,CONSUMER DISCRETIONARY
"RICE HALL JAMES & ASSOCIATES, LLC",American Italian Pasta Co,AIPC,2003-03-31,SH,541634.0,23426000.0,0.0,0.0,1.6562,,14,999999,,new,CONSUMER STAPLES
"RICE HALL JAMES & ASSOCIATES, LLC",Lubrizol Corp.,LZ,2003-03-31,SH,766077.0,22990000.0,0.0,0.0,1.6254,,15,999999,,new,MATERIALS
