Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector
SNYDER CAPITAL MANAGEMENT L P,Newmont Mining Corp. (Holding Co.),NEM,2003-09-30,SH,1912148.0,74746000.0,0.0,0.0,3.7826,,1,999999,,new,MATERIALS
SNYDER CAPITAL MANAGEMENT L P,GTECH Holdings Corp.,GTK,2003-09-30,SH,3080400.0,65998000.0,0.0,0.0,3.3399,,2,999999,,new,INFORMATION TECHNOLOGY
SNYDER CAPITAL MANAGEMENT L P,Jefferies Financial Group Inc. (Talcott National - Leucadia National),JEF,2003-09-30,SH,5373405.97,63478000.0,0.0,0.0,3.2124,,3,999999,,new,FINANCE
SNYDER CAPITAL MANAGEMENT L P,Brookfield Asset Management Inc,BAM,2003-09-30,SH,7650112.5,57144000.0,0.0,0.0,2.8919,,4,999999,,new,REAL ESTATE
SNYDER CAPITAL MANAGEMENT L P,UGI Corp. (United Gas Improvement),UGI,2003-09-30,SH,5852472.0,56437000.0,0.0,0.0,2.8561,,5,999999,,new,UTILITIES AND TELECOMMUNICATIONS
SNYDER CAPITAL MANAGEMENT L P,Borders Group Inc.,BGPIQ,2003-09-30,SH,2873800.0,54372000.0,0.0,0.0,2.7516,,6,999999,,new,CONSUMER DISCRETIONARY
SNYDER CAPITAL MANAGEMENT L P,Briggs & Stratton Corporation,BGGSQ,2003-09-30,SH,1834100.0,53886000.0,0.0,0.0,2.727,,7,999999,,new,INDUSTRIALS
SNYDER CAPITAL MANAGEMENT L P,Corn Products International Inc.,CPO,2003-09-30,SH,3296200.0,52492000.0,0.0,0.0,2.6564,,8,999999,,new,Consumer Staples
SNYDER CAPITAL MANAGEMENT L P,Cabot Corp.,CBT,2003-09-30,SH,1793000.0,51118000.0,0.0,0.0,2.5869,,9,999999,,new,MATERIALS
SNYDER CAPITAL MANAGEMENT L P,Winn-Dixie Stores Inc (New),WINN,2003-09-30,SH,4808900.0,46406000.0,0.0,0.0,2.3485,,10,999999,,new,CONSUMER STAPLES
SNYDER CAPITAL MANAGEMENT L P,Lafarge North America Inc,LAF,2003-09-30,SH,1319200.0,45908000.0,0.0,0.0,2.3233,,11,999999,,new,MATERIALS
SNYDER CAPITAL MANAGEMENT L P,LifePoint Health Inc,LPNT,2003-09-30,SH,1864700.0,45107000.0,0.0,0.0,2.2827,,12,999999,,new,HEALTH CARE
SNYDER CAPITAL MANAGEMENT L P,Renal Care Group Inc,RCI,2003-09-30,SH,1921650.0,43750000.0,0.0,0.0,2.214,,13,999999,,new,HEALTH CARE
SNYDER CAPITAL MANAGEMENT L P,"Kelly Services, Inc., Class A",KELYA,2003-09-30,SH,1701650.0,42405000.0,0.0,0.0,2.146,,14,999999,,new,INDUSTRIALS
SNYDER CAPITAL MANAGEMENT L P,"CEC Entertainment, Inc.",CEC,2003-09-30,SH,1574212.5,41139000.0,0.0,0.0,2.0819,,15,999999,,new,CONSUMER DISCRETIONARY
SNYDER CAPITAL MANAGEMENT L P,Apria Healthcare Group Inc.,AHG,2003-09-30,SH,1443800.0,39531000.0,0.0,0.0,2.0005,,16,999999,,new,HEALTH CARE
SNYDER CAPITAL MANAGEMENT L P,Patterson-UTI Energy Inc,PTEN,2003-09-30,SH,2842000.0,38466000.0,0.0,0.0,1.9466,,17,999999,,new,ENERGY
SNYDER CAPITAL MANAGEMENT L P,iMedia Brands Inc,IMBI,2003-09-30,SH,240775.0,38187000.0,0.0,0.0,1.9325,,18,999999,,new,CONSUMER DISCRETIONARY
SNYDER CAPITAL MANAGEMENT L P,Essendant Inc,ESND,2003-09-30,SH,2021400.0,38093000.0,0.0,0.0,1.9278,,19,999999,,new,INDUSTRIALS
SNYDER CAPITAL MANAGEMENT L P,Tupperware Brands Corp.,TUP,2003-09-30,SH,2837950.0,37972000.0,0.0,0.0,1.9216,,20,999999,,new,CONSUMER DISCRETIONARY
SNYDER CAPITAL MANAGEMENT L P,Arch Chemicals,ARJ,2003-09-30,SH,1820100.0,37858000.0,0.0,0.0,1.9159,,21,999999,,new,MATERIALS
SNYDER CAPITAL MANAGEMENT L P,Regis Corp.,RGS,2003-09-30,SH,1141100.0,36629000.0,0.0,0.0,1.8537,,22,999999,,new,CONSUMER DISCRETIONARY
SNYDER CAPITAL MANAGEMENT L P,Hanover Compressor Co.,HC,2003-09-30,SH,3666100.0,36294000.0,0.0,0.0,1.8367,,23,999999,,new,ENERGY
SNYDER CAPITAL MANAGEMENT L P,"Tecumseh Products Co, Class A",TECUA,2003-09-30,SH,954750.0,35622000.0,0.0,0.0,1.8027,,24,999999,,new,INDUSTRIALS
SNYDER CAPITAL MANAGEMENT L P,Dress Barn Inc.,DBRN,2003-09-30,SH,2477800.0,33946000.0,0.0,0.0,1.7179,,25,999999,,new, 
SNYDER CAPITAL MANAGEMENT L P,DRS Technologies Inc.,DRS,2003-09-30,SH,1398300.0,33741000.0,0.0,0.0,1.7075,,26,999999,,new,INDUSTRIALS
SNYDER CAPITAL MANAGEMENT L P,Esterline Technologies Corp,ESL,2003-09-30,SH,1574700.0,30376000.0,0.0,0.0,1.5372,,27,999999,,new,INDUSTRIALS
SNYDER CAPITAL MANAGEMENT L P,"Shaw Group, Inc.",SHAW,2003-09-30,SH,2887100.0,30343000.0,0.0,0.0,1.5356,,28,999999,,new,INDUSTRIALS
SNYDER CAPITAL MANAGEMENT L P,Charming Shoppes Inc.,CHRS,2003-09-30,SH,5227134.0,29847000.0,0.0,0.0,1.5105,,29,999999,,new,CONSUMER DISCRETIONARY
SNYDER CAPITAL MANAGEMENT L P,Hasbro Inc.,HAS,2003-09-30,SH,1584800.0,29604000.0,0.0,0.0,1.4982,,30,999999,,new,CONSUMER DISCRETIONARY
SNYDER CAPITAL MANAGEMENT L P,ALLETE Inc. (Minnesota Power and Light - Duluth Edison Electric),ALE,2003-09-30,SH,352898.04,28990000.0,0.0,0.0,1.4671,,31,999999,,new,UTILITIES AND TELECOMMUNICATIONS
SNYDER CAPITAL MANAGEMENT L P,"Schulman (A.), Inc.",SHLM,2003-09-30,SH,1700300.0,26984000.0,0.0,0.0,1.3656,,32,999999,,new,MATERIALS
SNYDER CAPITAL MANAGEMENT L P,Flowers Foods,FLO,2003-09-30,SH,5971198.5,26893000.0,0.0,0.0,1.361,,33,999999,,new,CONSUMER STAPLES
SNYDER CAPITAL MANAGEMENT L P,TVSL SA,TVSFF.PK,2003-09-30,SH,1053522.0,26233000.0,0.0,0.0,1.3276,,34,999999,,new, 
SNYDER CAPITAL MANAGEMENT L P,TRIARC COS CL B,TRY.B,2003-09-30,SH,2469500.0,25683000.0,0.0,0.0,1.2997,,35,999999,,new, 
SNYDER CAPITAL MANAGEMENT L P,IDT Corp. Class B,IDT,2003-09-30,SH,1395800.0,25208000.0,0.0,0.0,1.2757,,36,999999,,new,UTILITIES AND TELECOMMUNICATIONS
SNYDER CAPITAL MANAGEMENT L P,Vintage Petroleum Inc,VPI,2003-09-30,SH,2303000.0,25057000.0,0.0,0.0,1.2681,,37,999999,,new,ENERGY
SNYDER CAPITAL MANAGEMENT L P,La-Z-Boy Inc,LZB,2003-09-30,SH,1111500.0,24675000.0,0.0,0.0,1.2487,,38,999999,,new,CONSUMER DISCRETIONARY
SNYDER CAPITAL MANAGEMENT L P,"Ocular Sciences, Inc.",OCLR,2003-09-30,SH,1078650.0,23989000.0,0.0,0.0,1.214,,39,999999,,new,HEALTH CARE
SNYDER CAPITAL MANAGEMENT L P,American Eagle Outfitters Inc,AEO,2003-09-30,SH,4698000.0,23349000.0,0.0,0.0,1.1816,,40,999999,,new,CONSUMER DISCRETIONARY
SNYDER CAPITAL MANAGEMENT L P,"Itron, Inc.",ITRI,2003-09-30,SH,1111100.0,22289000.0,0.0,0.0,1.128,,41,999999,,new,INFORMATION TECHNOLOGY
SNYDER CAPITAL MANAGEMENT L P,"Imagistics International, Inc.",IGI,2003-09-30,SH,761200.0,22060000.0,0.0,0.0,1.1164,,42,999999,,new,INDUSTRIALS
SNYDER CAPITAL MANAGEMENT L P,Cytec Industries Inc.,CYT,2003-09-30,SH,943000.0,17210000.0,0.0,0.0,0.8709,,43,999999,,new,MATERIALS
SNYDER CAPITAL MANAGEMENT L P,Heritage Property Investment Trust Inc,HTG,2003-09-30,SH,591800.0,17091000.0,0.0,0.0,0.8649,,44,999999,,new,FINANCE
SNYDER CAPITAL MANAGEMENT L P,Hawaiian Electric Industries,HE,2003-09-30,SH,361400.0,15732000.0,0.0,0.0,0.7961,,45,999999,,new,UTILITIES AND TELECOMMUNICATIONS
SNYDER CAPITAL MANAGEMENT L P,Golden Star Resources Ltd,GSS,2003-09-30,SH,734518.4,15207000.0,0.0,0.0,0.7696,,46,999999,,new,MATERIALS
SNYDER CAPITAL MANAGEMENT L P,Republic Services Inc.,RSG,2003-09-30,SH,960150.0,14492000.0,0.0,0.0,0.7334,,47,999999,,new,INDUSTRIALS
SNYDER CAPITAL MANAGEMENT L P,Covance Inc.,CVD,2003-09-30,SH,63880.0,14296000.0,0.0,0.0,0.7235,,48,999999,,new,HEALTH CARE
SNYDER CAPITAL MANAGEMENT L P,Brandywine Realty Trust,BDN,2003-09-30,SH,537100.0,13798000.0,0.0,0.0,0.6983,,49,999999,,new,REAL ESTATE
SNYDER CAPITAL MANAGEMENT L P,Belmond Ltd,BEL,2003-09-30,SH,868600.0,13550000.0,0.0,0.0,0.6857,,50,999999,,new,CONSUMER DISCRETIONARY
SNYDER CAPITAL MANAGEMENT L P,"Freeport-McMoRan Copper & Gold, Inc",FCX,2003-09-30,SH,811000.0,13422000.0,0.0,0.0,0.6792,,51,999999,,new,MATERIALS
SNYDER CAPITAL MANAGEMENT L P,J C Penney Company Inc,JCP,2003-09-30,SH,609700.0,13029000.0,0.0,0.0,0.6594,,52,999999,,new,CONSUMER DISCRETIONARY
SNYDER CAPITAL MANAGEMENT L P,Wendys Co. (The),WEN,2003-09-30,SH,1234800.0,12434000.0,0.0,0.0,0.6292,,53,999999,,new,CONSUMER DISCRETIONARY
SNYDER CAPITAL MANAGEMENT L P,Donnelley (R.R.) & Sons Co,RRD,2003-09-30,SH,482000.0,11987000.0,0.0,0.0,0.6066,,54,999999,,new,INDUSTRIALS
SNYDER CAPITAL MANAGEMENT L P,"Commonwealth Telephone Enterprises, Inc. (New)",CTCO,2003-09-30,SH,290400.0,11651000.0,0.0,0.0,0.5896,,55,999999,,new,Communications
SNYDER CAPITAL MANAGEMENT L P,Bausch & Lomb Inc.,BOL,2003-09-30,SH,262100.0,11572000.0,0.0,0.0,0.5856,,56,999999,,new,HEALTH CARE
SNYDER CAPITAL MANAGEMENT L P,Genuine Parts Co.,GPC,2003-09-30,SH,351800.0,11251000.0,0.0,0.0,0.5694,,57,999999,,new,INDUSTRIALS
SNYDER CAPITAL MANAGEMENT L P,Nabors Industries Ltd.,NBR,2003-09-30,SH,10980.0,10228000.0,0.0,0.0,0.5176,,58,999999,,new,ENERGY
SNYDER CAPITAL MANAGEMENT L P,Brookfield Office Properties Inc,BPO,2003-09-30,SH,896850.0,9367000.0,0.0,0.0,0.474,,59,999999,,new,FINANCE
SNYDER CAPITAL MANAGEMENT L P,"Liberty Media Group, Inc. Class A",L,2003-09-30,SH,922119.0,9194000.0,0.0,0.0,0.4653,,60,999999,,new,CONSUMER DISCRETIONARY
