Filer Name,Stock Name,Stock Ticker,Quarter Date,Type of Security,Current Shares Held,Current Market Value,Previous Shares Held,Previous Market Value,Current % of Portfolio,Previous % of Portfolio,Current Rank,Previous Rank,Change in Shares,Type of Change,Sector
TIGER GLOBAL MANAGEMENT LLC,Accenture Plc,ACN,2001-12-31,SH,255500.0,6878060.0,0.0,0.0,6.4722,,1,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,HNC Software Inc.,HNCS,2001-12-31,SH,280200.0,5772120.0,0.0,0.0,5.4315,,2,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,Invesco QQQ Trust Series 1,QQQ,2001-12-31,SH,136800.0,5322888.0,0.0,0.0,5.0088,,3,999999,,new,FINANCE
TIGER GLOBAL MANAGEMENT LLC,Cree Inc.,CREE,2001-12-31,SH,180400.0,5314584.0,0.0,0.0,5.001,,4,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,Electronic Data Systems Corp. (New),EDS,2001-12-31,SH,69100.0,4736805.0,0.0,0.0,4.4573,,5,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,International Business Machines Corp,IBM,2001-12-31,SH,38100.0,4608576.0,0.0,0.0,4.3366,,6,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,Lexmark International Inc. Class A,LXK,2001-12-31,SH,77100.0,4548900.0,0.0,0.0,4.2805,,7,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,Microsoft Corp.,MSFT,2001-12-31,SH,126200.0,4180375.0,0.0,0.0,3.9337,,8,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,Tech Data Corp.,TECD,2001-12-31,SH,96000.0,4154880.0,0.0,0.0,3.9097,,9,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,General Dynamics Corp. (Electric Boat),GD,2001-12-31,SH,103400.0,4117388.0,0.0,0.0,3.8744,,10,999999,,new,INDUSTRIALS
TIGER GLOBAL MANAGEMENT LLC,Nokia Corp. ADR Class A ADR,NOK,2001-12-31,SH,163200.0,4003296.0,0.0,0.0,3.7671,,11,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,AT&T Inc. (Southwestern Bell - SBC Corp.),T,2001-12-31,SH,101300.0,3967921.0,0.0,0.0,3.7338,,12,999999,,new,UTILITIES AND TELECOMMUNICATIONS
TIGER GLOBAL MANAGEMENT LLC,McData Corp,MCDTA,2001-12-31,SH,146300.0,3584350.0,0.0,0.0,3.3728,,13,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,"Dish Network Corp, Class A",DISH,2001-12-31,SH,127200.0,3494184.0,0.0,0.0,3.288,,14,999999,,new,COMMUNICATIONS
TIGER GLOBAL MANAGEMENT LLC,Taiwan Semiconductor Manufacturing Co Ltd ADR,TSM,2001-12-31,SH,186500.0,3202205.0,0.0,0.0,3.0132,,15,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,SPDR S&P 500 ETF Trust,SPY,2001-12-31,SH,27800.0,3177540.0,0.0,0.0,2.99,,16,999999,,new,FINANCE
TIGER GLOBAL MANAGEMENT LLC,COMCAST HLDGS INC ZERO PREM OPT NT,CCZMP,2001-12-31,SH,77000.0,2772000.0,0.0,0.0,2.6084,,17,999999,,new, 
TIGER GLOBAL MANAGEMENT LLC,"Orbital ATK, Inc.",OA,2001-12-31,SH,52950.0,2725160.0,0.0,0.0,2.5644,,18,999999,,new,INDUSTRIALS
TIGER GLOBAL MANAGEMENT LLC,Dell Inc.,DELL,2001-12-31,SH,88100.0,2394558.0,0.0,0.0,2.2533,,20,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,"Micron Technology, Inc.",MU,2001-12-31,SH,75800.0,2349800.0,0.0,0.0,2.2111,,21,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,Intel Corp.,INTC,2001-12-31,SH,68600.0,2157470.0,0.0,0.0,2.0302,,22,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,Sun Microsystems Inc.,JAVA,2001-12-31,SH,40525.0,1993830.0,0.0,0.0,1.8762,,23,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,Sirius XM Holdings Inc,SIRI,2001-12-31,SH,150000.0,1744500.0,0.0,0.0,1.6416,,24,999999,,new,COMMUNICATIONS
TIGER GLOBAL MANAGEMENT LLC,i2 Technologies Inc.,ITWO,2001-12-31,SH,8600.0,1698500.0,0.0,0.0,1.5983,,25,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,"Texas Instruments, Inc.",TXN,2001-12-31,SH,56600.0,1584800.0,0.0,0.0,1.4913,,26,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,"McAfee, Inc.",MFE,2001-12-31,SH,58600.0,1514810.0,0.0,0.0,1.4254,,27,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,Emulex Corp.,ELX,2001-12-31,SH,35300.0,1394703.0,0.0,0.0,1.3124,,28,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,"American Tower Corp., Class A",AMT,2001-12-31,SH,145000.0,1373150.0,0.0,0.0,1.2921,,29,999999,,new,UTILITIES AND TELECOMMUNICATIONS
TIGER GLOBAL MANAGEMENT LLC,WebEx Communications Inc,WEBX,2001-12-31,SH,55000.0,1366750.0,0.0,0.0,1.2861,,30,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,CSG Systems International Inc.,CSGS,2001-12-31,SH,31000.0,1253950.0,0.0,0.0,1.18,,31,999999,,new,COMMUNICATIONS
TIGER GLOBAL MANAGEMENT LLC,MCSI Inc,MCSI,2001-12-31,SH,49000.0,1149050.0,0.0,0.0,1.0812,,32,999999,,new,INDUSTRIALS
TIGER GLOBAL MANAGEMENT LLC,Maxim Integrated Products Inc,MXIM,2001-12-31,SH,21300.0,1118463.0,0.0,0.0,1.0525,,33,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,ClearOne Inc.,CLRO,2001-12-31,SH,51000.0,850680.0,0.0,0.0,0.8005,,34,999999,,new,INFORMATION TECHNOLOGY
TIGER GLOBAL MANAGEMENT LLC,FuelCell Energy Inc,FCEL,2001-12-31,SH,277.56,725600.0,0.0,0.0,0.6828,,35,999999,,new,INDUSTRIALS
TIGER GLOBAL MANAGEMENT LLC,Applied Materials Inc.,AMAT,2001-12-31,SH,32800.0,657640.0,0.0,0.0,0.6188,,36,999999,,new,INFORMATION TECHNOLOGY
