,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
purchase_date,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29
weights,0.376,3.9663,1.9939,40.4963,4.9049,23.8424,19.9746,0.2608,0.0265,2.0027,2.1549
seed_money,376.0,3966.3,1993.9,40496.3,4904.9,23842.4,19974.6,260.79999999999995,26.5,2002.7,2154.9
num_shares,6.474944033063544,80.17586416009703,26.242432219005,1524.13624388408,68.46594081518704,343.40198761342356,387.7810133954572,7.973096912259247,0.5102040816326531,24.001677852348994,19.717265989569036
rebalacning_date_1,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28
weights_1,0.3201,3.6832,0.7871,42.5871,5.1656,26.7529,16.9625,0.2341,0.0256,1.6918,1.7898
seed_money_1,336.8014884696134,3875.374077885911,828.1676087923547,44809.1179931405,5435.119552760498,28148.755204244677,17847.532796519266,246.3143656692799,26.935701670796952,1780.0710971349326,1883.1843300934522
num_shares_1,5.814942825787524,79.12156141049226,10.93434920507466,1625.285382413511,69.34319408982519,373.722188054231,331.00023732417037,7.5510228592667055,0.5113079284509672,18.71591943155223,16.07086815235921
rebalacning_date_2,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31
weights_2,0.3104,3.8247,0.7242,45.5183,4.952,21.9066,18.5125,0.28800000000000003,0.0215,1.4715,2.4705
seed_money_2,280.62705013411676,3457.8423925514053,654.7361781801783,41152.2753096642,4477.014021469543,19805.36255305426,16736.817866004625,260.3756135265001,19.437762815346357,1330.3566503619613,2233.5345597820083
num_shares_2,5.583595642869699,84.23489385021695,11.476371552724558,1737.1158847473278,69.8987356981974,321.54172502726294,331.09366481974564,8.422497469666144,0.36834873631507214,15.481918944927788,22.684666781589783
rebalacning_date_3,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29
weights_3,0.3066,3.7933,0.4398,46.4856,4.8086,24.2341,15.283,0.3127,0.0263,1.4125,2.8975
seed_money_3,311.5503284365958,3854.546186753225,446.9009603601267,47236.151166249896,4886.239104110289,24625.380999234527,15529.757565220136,317.7488183369977,26.724636783700163,1435.3060630029079,2944.2827026909213
num_shares_3,5.6145310585077635,82.4325531812067,6.758937694496773,1837.2676455173043,65.12380519939076,332.7754189085747,276.7734372700078,8.77274484641076,0.4593440492213847,15.643662812020795,25.861068974008973
rebalacning_date_4,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28
weights_4,0.3471,3.9006,0.4107,47.3721,4.8536,24.2044,15.2266,0.297,0.0225,1.2563,2.109
seed_money_4,372.97041515804165,4191.323541819237,441.31071594758765,50902.886211202145,5215.353520631146,26008.427302366184,16361.484654121106,319.13631029080483,24.176993203848852,1349.9358471997914,2266.1901629740987
num_shares_4,6.374472998770153,85.17219146147606,6.927954724451925,1844.3074714203674,67.4253848821092,332.92917693761115,281.7545144501654,8.676898050320958,0.40504260686629007,14.581290205225658,19.011662441057876
rebalacning_date_5,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30
weights_5,0.3408,3.7923,0.5602,46.0393,4.7082,25.9615,14.995999999999999,0.3245,0.0216,1.1835,2.072
seed_money_5,374.67120782884086,4169.206635708079,615.8767917421263,50615.02388085198,5176.135506748088,28541.744606949684,16486.412654346528,356.75119407411637,23.74676669337724,1301.1249250746278,2277.93058280915
num_shares_5,6.440969706529841,84.19237955791759,10.406840009160634,1806.3891463544603,66.65982622985302,354.4677671007164,268.46462553894366,9.068408593648103,0.3669154309854332,14.436091479802815,18.8742280454814
rebalacning_date_6,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31
weights_6,0.3047,3.6987,0.5363,43.5571,4.2145,29.7417,14.2518,0.2865,0.0216,1.4697,1.9173
seed_money_6,365.9550955270014,4442.26488948382,644.1145970828055,52313.5631486024,5061.758287162938,35720.79640510475,17116.89803226688,344.09627459299605,25.942336932665672,1765.1598421267931,2302.742713009254
