,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
purchase_date,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15,2018-08-15
weights,0.376,3.9663,1.9939,40.4963,4.9049,23.8424,19.9746,0.2608,0.0265,2.0027,2.1549
seed_money,376.0,3966.3,1993.9,40496.3,4904.9,23842.4,19974.6,260.79999999999995,26.5,2002.7,2154.9
num_shares,6.5232477446217905,81.17683176422432,27.727715199555004,1459.3261261261262,65.50347222222221,327.7305841924399,371.20609552127854,7.822435512897418,0.49431076291736614,22.26706693351123,19.26425889504738
rebalacning_date_1,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15,2018-11-15
weights_1,0.3201,3.6832,0.7871,42.5871,5.1656,26.7529,16.9625,0.2341,0.0256,1.6918,1.7898
seed_money_1,310.6094437800178,3573.9978235881335,763.7634901569884,41324.4468703655,5012.446556669978,25959.71067948278,16459.583536765233,227.15923395470844,24.840992692185118,1641.6402904937024,1736.7347156434732
num_shares_1,5.678417619378752,79.28122944960367,11.490348881555414,1544.2618411945252,69.61731328708304,379.97234601116486,294.46589649360664,6.88361315014268,0.45925296158597,18.0043901128943,16.260038532379674
rebalacning_date_2,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15,2019-02-15
weights_2,0.3104,3.8247,0.7242,45.5183,4.952,21.9066,18.5125,0.28800000000000003,0.0215,1.4715,2.4705
seed_money_2,301.24547519640726,3711.8993846124317,702.8414083029579,44175.843793919536,4805.952297592167,21260.515872866028,17966.51694450222,279.5061110069758,20.86590759253465,1428.1015359262667,2397.638358481714
num_shares_2,5.529469074823922,80.44862125297858,10.64064809512067,1672.3772021169614,63.51199018887495,305.59890574767905,330.66194799856845,7.985888885913594,0.37461234456974235,15.390683650460897,21.794731010650978
rebalacning_date_3,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16,2019-05-16
weights_3,0.3066,3.7933,0.4398,46.4856,4.8086,24.2341,15.283,0.3127,0.0263,1.4125,2.8975
seed_money_3,311.5636765878686,3854.711332031187,446.92010751253946,47238.17496540451,4886.448451534328,24626.436056092847,15530.42292658968,317.7624320581425,26.725781781673003,1435.3675576658984,2944.4088483801343
num_shares_3,5.667885693794226,78.10965211815981,6.937598688490212,1746.3280948393535,64.58857248740108,323.8615998960132,268.0894687828358,8.656018307222624,0.4570853733824697,16.19870847157091,25.217616036143664
rebalacning_date_4,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15,2019-08-15
weights_4,0.3471,3.9006,0.4107,47.3721,4.8536,24.2044,15.2266,0.297,0.0225,1.2563,2.109
seed_money_4,347.86753644149786,3909.2253317306436,411.60817406085613,47476.85313471703,4864.332684737695,24257.922786069117,15260.270326649701,297.6567511470033,22.54975387477298,1259.0780352389909,2113.6635965287205
num_shares_4,6.252112445030515,81.23909666938162,7.314877804529165,1819.7337345617873,66.73525428368356,315.735035611989,256.3458815160373,7.7494598059620765,0.36918392067408284,14.074201154024044,18.443835920843984
rebalacning_date_5,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15,2019-11-15
weights_5,0.3408,3.7923,0.5602,46.0393,4.7082,25.9615,14.995999999999999,0.3245,0.0216,1.1835,2.072
seed_money_5,381.09781455707133,4240.71960723234,626.4407151257964,51483.20602622469,5264.91998385447,29031.311363331595,16769.19843631996,362.87042495237574,24.15408683812424,1323.442674672224,2317.0031448422883
num_shares_5,6.315840479898431,81.59937670256572,10.423306408083134,1729.946439053249,63.97229628012722,332.8133825900676,273.3811287303547,9.410540066192317,0.38419097881540065,13.577948852695435,19.090410685031625
rebalacning_date_6,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18
weights_6,0.3047,3.6987,0.5363,43.5571,4.2145,29.7417,14.2518,0.2865,0.0216,1.4697,1.9173
seed_money_6,366.2657668806368,4446.0360747010545,644.6614072139334,52357.97385820999,5066.055380762861,35751.120967620074,17131.42913170154,344.3883892724071,25.964360238338546,1766.6583445502852,2304.6975872669673
num_shares_6,6.065006903140202,77.55164965464948,11.90840319966627,1694.4437782189525,60.174075077359085,351.81185758335045,265.43893913389434,8.233047795180662,0.36584979904661896,17.05597938357101,17.503589179516727
rebalacning_date_7,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18
weights_7,0.2368,4.1155,0.2595,37.1991,2.9493,35.5163,15.7388,0.1922,0.0158,2.01,1.7667
