,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
purchase_date,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29,2018-06-29
weights,1.8321,12.7887,0.0,12.2614,17.0288,20.3937,0.0,4.3739,0.0,0.0,31.3214
seed_money,1832.1,12788.7,0.0,12261.4,17028.8,20393.7,0.0,4373.9,0.0,0.0,31321.4
num_shares,31.54985362493542,258.51425106124924,0.0,461.4753481369966,237.69960915689558,293.730375918191,0.0,133.7175175787221,0.0,0.0,286.5898069356757
rebalacning_date_1,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28,2018-09-28
weights_1,1.2180975638048723,11.137877724244552,0.0,12.170175659648681,20.82235835528329,21.782156435687128,0.0,3.759292481415037,0.0,0.0,29.11004177991644
seed_money_1,1290.1041486840168,11796.281912509408,0.0,12889.603078822938,22053.250657218676,23069.786214157288,0.0,3981.5191906640043,0.0,0.0,30830.851965032918
num_shares_1,22.27389759468261,240.83874872416106,0.0,467.5227812413108,281.36323880095273,306.2903108624175,0.0,122.05760854273466,0.0,0.0,263.1067756019194
rebalacning_date_2,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31
weights_2,0.0,13.542,0.0,17.2468,21.8382,18.5828,0.0,4.4617,0.0,0.0,24.3285
seed_money_2,0.0,12004.661472796539,0.0,15288.878709867624,19359.04579642781,16473.210989269202,0.0,3955.1911160224727,0.0,0.0,21566.637619327325
num_shares_2,0.0,292.4399871570412,0.0,645.3726766512293,302.2489585703015,267.44396443330146,0.0,127.9405037805311,0.0,0.0,219.03936334949208
rebalacning_date_3,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29,2019-03-29
weights_3,0.0,12.2094,0.0,12.3421,23.6022,19.0589,0.0,3.8713,0.5015,0.0,28.4146
seed_money_3,0.0,12491.101944357115,0.0,12626.863671224624,24146.762847568712,19498.637348871183,0.0,3960.620747718127,513.0708818693049,0.0,29070.197168421844
num_shares_3,0.0,267.1322058245747,0.0,491.1265527508605,321.82810672489285,263.49509930907004,0.0,109.34899910872797,8.818681365921364,0.0,255.33770020572547
rebalacning_date_4,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28,2019-06-28
weights_4,4.35739128521743,10.446479107041787,4.581190837618325,0.0,20.34735930528139,50.27759944480112,0.0,0.0,0.0,0.0,9.989980020039962
seed_money_4,4669.50281583637,11194.740250065324,4909.332698377377,0.0,21804.801394168302,53878.886887542176,0.0,0.0,0.0,0.0,10705.543014229894
num_shares_4,79.8069187461352,227.48913330756602,77.06958710168566,0.0,281.8978848631972,689.6938925696643,0.0,0.0,0.0,0.0,89.81160246837159
rebalacning_date_5,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30,2019-09-30
weights_5,0.0,8.776391223608776,0.0,14.02068597931402,26.251773748226253,16.925983074016926,0.0,3.4002965997034003,0.0,0.0,30.624869375130626
seed_money_5,0.0,9542.701279229981,0.0,15244.901306424024,28543.945745646237,18403.874236845026,0.0,3697.1932865144827,0.0,0.0,33298.877946115754
num_shares_5,0.0,192.70398382936148,0.0,544.0721379880094,367.5974983341434,228.5627699558498,0.0,93.98051058755675,0.0,0.0,275.90420039867223
rebalacning_date_6,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31,2019-12-31
weights_6,0.0,10.061810061810062,0.0,4.79050479050479,13.084813084813087,54.02145402145402,0.0,0.0,0.0,0.0,18.04141804141804
seed_money_6,0.0,11694.685245758272,0.0,5567.929164742391,15208.27461325984,62788.295288636815,0.0,0.0,0.0,0.0,20969.259416090885
num_shares_6,0.0,217.98108566185036,0.0,180.95317402477707,186.65040026092095,684.7889114258569,0.0,0.0,0.0,0.0,167.19230916991617
rebalacning_date_7,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31
weights_7,0.0,13.04198695801304,0.0,7.157792842207158,6.132093867906133,53.26044673955326,0.0,0.0,0.0,0.0,20.407679592320406
seed_money_7,0.0,12507.046353342246,0.0,6864.203066090566,5880.574984153505,51075.87350883184,0.0,0.0,0.0,0.0,19570.621826798237
num_shares_7,0.0,282.8368691393543,0.0,330.00976279281565,99.65387195650746,634.8772344168035,0.0,0.0,0.0,0.0,199.6391087095607
rebalacning_date_8,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30
weights_8,0.0,11.5015,0.0,6.195,4.6764,53.4888,0.0,0.0,4.5436,0.0,19.5947
seed_money_8,0.0,13984.914481592234,0.0,7532.630110286824,5686.132598506101,65038.15099969489,0.0,0.0,5524.658300096725,0.0,23825.605685558872
num_shares_8,0.0,258.8360999739447,0.0,325.24309629908566,82.71941516593107,622.6129714694131,0.0,0.0,97.88551204990654,0.0,186.5456129467497
