Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2008-01-02,41.33,,79.75,28.41,38.37,26.1,28.34,,41.98,34.94,32.13
2008-01-03,41.8,,80.21,28.2,38.58,26.08,28.22,,42.08,35.18,31.78
2008-01-04,40.74,,78.01,27.39,37.6,25.07,28.04,,42.3,34.83,30.78
2008-01-07,40.25,,77.04,27.55,37.34,24.97,28.55,,43.25,35.57,30.93
2008-01-08,39.6,,76.08,26.54,36.39,24.21,28.38,,43.33,35.81,30.32
2008-01-09,39.97,,77.14,26.96,36.7,24.63,28.63,,43.83,36.41,30.56
2008-01-10,40.52,,76.75,27.65,37.14,24.76,28.83,,43.58,36.45,31.01
2008-01-11,40.08,,75.61,27.61,36.37,24.23,28.24,,43.37,36.5,30.24
2008-01-14,41.41,,77.01,27.84,36.89,24.8,28.17,,43.48,36.26,30.53
2008-01-15,40.16,,74.1,26.78,36.03,24.19,27.77,,42.91,35.72,29.87
2008-01-16,38.9,,71.81,27.16,35.83,23.77,27.82,,42.22,35.92,30.23
2008-01-17,36.79,,68.87,25.91,34.62,23.42,27.44,,40.63,35.22,29.66
2008-01-18,37.45,,69.17,25.44,34.83,23.24,27.19,,39.98,34.7,29.7
2008-01-22,37.02,,67.5,26.01,34.92,22.62,26.93,,38.72,33.61,30.07
2008-01-23,37.55,,67.46,27.72,35.71,22.6,27.16,,39.74,33.39,31.21
2008-01-24,38.55,,69.67,27.86,36.01,23.13,27.03,,38.85,33.4,31.43
2008-01-25,38.45,,68.98,27.27,35.91,22.81,26.7,,38.21,32.92,30.86
2008-01-28,39.2,,70.28,28.11,36.36,22.99,26.95,,38.67,33.35,31.39
2008-01-29,39.46,,70.7,28.54,36.64,23.15,27,,38.88,33.45,31.5
2008-01-30,39.44,,70.24,28.12,36.74,23.09,26.79,,38.81,33.18,31.28
2008-01-31,39.94,,70.03,28.89,37.2,23.3,27.18,,39.62,33.48,32.34
2008-02-01,40.94,,71.19,29.55,37.84,23.58,27.47,,40.25,33.86,32.83
2008-02-04,40.24,,71.36,28.79,29.26,23.25,27.33,,40.86,33.99,32.19
2008-02-05,38.9,,68.64,27.48,28.51,22.55,26.83,,39.49,33.32,31.35
2008-02-06,38.68,,67.51,27.22,28.47,22.25,26.78,,39.45,33.38,31.1
2008-02-07,38.9,,68.61,27.65,28.48,22.23,27.08,,39.23,33.4,31.64
2008-02-08,39.65,,69.5,27.03,28.26,22.4,26.88,,39.01,33.01,31.4
