Date,SPY
2018-06-29,271.19
2018-07-02,271.94
2018-07-03,270.83
2018-07-05,273.09
2018-07-06,275.37
2018-07-09,277.89
2018-07-10,278.82
2018-07-11,276.91
2018-07-12,279.3
2018-07-13,279.57
2018-07-16,279.35
2018-07-17,280.5
2018-07-18,281.05
2018-07-19,280.01
2018-07-20,279.74
2018-07-23,280.24
2018-07-24,281.57
2018-07-25,284.13
2018-07-26,283.29
2018-07-27,281.46
2018-07-30,279.89
2018-07-31,281.22
2018-08-01,280.92
2018-08-02,282.34
2018-08-03,283.64
2018-08-06,284.68
2018-08-07,285.54
2018-08-08,285.42
2018-08-09,285.06
2018-08-10,283.12
2018-08-13,282.05
2018-08-14,283.86
2018-08-15,281.76
2018-08-16,284.1
2018-08-17,285.02
2018-08-20,285.71
2018-08-21,286.25
2018-08-22,286.2
2018-08-23,285.77
2018-08-24,287.5
2018-08-27,289.72
2018-08-28,289.88
2018-08-29,291.47
2018-08-30,290.24
2018-08-31,290.22
2018-09-04,289.87
2018-09-05,289.06
2018-09-06,288.2
2018-09-07,287.56
2018-09-10,288.09
2018-09-11,289.11
2018-09-12,289.16
2018-09-13,290.82
2018-09-14,290.9
2018-09-17,289.34
2018-09-18,290.9
2018-09-19,291.25
2018-09-20,293.55
2018-09-21,292.01
2018-09-24,291.07
2018-09-25,290.7
2018-09-26,289.84
2018-09-27,290.65
2018-09-28,290.61
2018-10-01,291.67
2018-10-02,291.57
2018-10-03,291.78
2018-10-04,289.47
2018-10-05,287.89
2018-10-08,287.8
2018-10-09,287.43
2018-10-10,278.17
2018-10-11,272.25
2018-10-12,276.01
2018-10-15,274.48
2018-10-16,280.3
2018-10-17,280.4
2018-10-18,276.47
2018-10-19,276.19
2018-10-22,275.06
2018-10-23,273.54
2018-10-24,265.22
2018-10-25,270.14
2018-10-26,265.29
2018-10-29,263.8
2018-10-30,267.81
2018-10-31,270.69
2018-11-01,273.51
2018-11-02,271.8
2018-11-05,273.38
2018-11-06,275.12
2018-11-07,280.91
2018-11-08,280.44
2018-11-09,277.83
2018-11-12,272.49
2018-11-13,272.06
2018-11-14,270.13
2018-11-15,273.07
2018-11-16,273.68
2018-11-19,269.08
2018-11-20,264.18
2018-11-21,265.08
2018-11-23,263.34
2018-11-26,267.46
2018-11-27,268.34
2018-11-28,274.5
2018-11-29,273.93
2018-11-30,275.78
2018-12-03,279.25
2018-12-04,270.3
2018-12-06,269.95
2018-12-07,263.64
2018-12-10,264.07
2018-12-11,264.1
2018-12-12,265.53
2018-12-13,265.41
2018-12-14,260.5
2018-12-17,255.1
2018-12-18,255.12
2018-12-19,251.19
2018-12-20,247.25
2018-12-21,240.73
2018-12-24,234.41
2018-12-26,245.96
2018-12-27,248.01
2018-12-28,247.6899
2018-12-31,248.55
2019-01-02,249.89
2019-01-03,244.46
2019-01-04,252.41
2019-01-07,254.4
2019-01-08,256.65
