Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2001-03-30,5.5231,3.4773,43.5279,,43.1115,,,1.2704,,2.5412,0.5485
2001-06-29,5.7885,4.8921,41.5455,,42.1752,,1.7111,1.3049,,2.4165,
2001-09-28,5.6963,4.9522,46.0285,,38.1666,,1.6766,1.1416,,2.1217,0.0832
2001-12-31,5.5975,5.6426,44.3632,,39.3557,,1.3093,1.1057,,2.2442,0.3818
2002-03-29,5.4681,5.1763,44.2882,,40.1715,,1.3339,0.7209,,2.4241,
2002-06-28,4.7015,4.8523,47.1022,,39.0144,,0.9466,1.0026,,2.3803,
2002-09-30,5.7693,4.7905,45.638999999999996,0.006999999999999999,40.4428,,0.0496,0.8122,,2.4897,
2002-12-31,6.2341,4.8972,41.8464,0.0154,40.9932,,1.4688,1.0221,,3.5228,
2003-03-31,6.1783,5.0273,41.0535,0.0548,40.8024,,1.8218,1.0486,,3.7573,0.256
2003-06-30,6.25,5.0662,40.0735,0.0636,41.7953,1.7015,1.6809,0.6377,,2.6408,0.0905
2003-09-30,5.5013,5.0923,38.1021,0.0712,45.1605,2.1259,1.2205,0.2065,,2.4383,0.0814
2003-12-31,5.7908,5.1497,39.8249,0.1079,43.7934,1.9088,1.1048,0.1747,,2.1447,
2004-03-31,6.1154,4.9432,39.0901,0.094,44.8702,1.7539,0.941,0.1559,,2.0363,
2004-06-30,6.2684,5.5731,39.7303,0.0843,43.387,1.6734,0.9838,0.1638,,2.1357,
2004-09-30,6.5644,5.8829,35.7709,0.1036,46.8601,1.5058,1.0174,0.1509,,2.1441,
2004-12-31,6.5314,5.9331,36.6667,0.09699999999999999,47.8566,,0.9329999999999999,0.1626,,1.8195,
2005-03-31,6.0589,5.5664,41.8007,0.1114,43.6553,,0.841,0.1546,,1.8115,
2005-06-30,5.5061,5.2941,42.6836,0.1243,43.1741,,1.0551,0.1423,,2.0204,
2005-09-30,4.217,4.9547,41.813,0.1307,45.4119,,0.9659,0.1257,,2.381,
2005-12-30,3.5874,4.5801,39.675,0.1266,48.4171,,1.3233,0.1258,,2.1647,
2006-03-31,3.3622,4.4079,37.428000000000004,2.6096,47.786,0.2533,1.2649,0.0927,,2.7957,
2006-06-30,3.2356,3.9479,36.5789,2.6184,46.6471,3.1446,0.946,0.0741,,2.8075,
2006-09-29,2.8852,4.516,35.5601,2.2362,47.3829,3.1783,0.4491,0.07200000000000001,,3.7201,
2006-12-29,2.725,4.0214,34.7172,2.5188,45.8466,3.0835,0.4647,,,6.6227,
2007-03-30,2.6315,3.4774,32.9191,2.2664,42.8737,5.3948,0.4678,,,9.9694,
2007-06-29,2.3696,3.4687,34.804,2.3321,41.1488,6.1904,0.5059,,,9.1807,
2007-09-28,2.2124,3.4122,36.8452,2.211,39.6661,6.968,,,,8.6853,
2007-12-31,2.1839,3.1124,40.064,2.2482,35.0306,6.8446,,,,9.9427,
