Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-12-31,50.2592,41.05,57.0508,23.69,64.05,61.595,50.5501,30.9143,52.77,85.9297,98.4601
2019-01-02,50.7299,41.79,58.4499,23.955,64.6,61.9299,50.47,30.25,51.94,85.17,99.6399
2019-01-03,49.455,41.18,57.965,23.5184,62.845,58.97,50.25,30.43,52.14,83.58,97.73
2019-01-04,51.3201,42.9,59.915,24.25,65.165,61.445,51.185,30.73,52.755,85.92,100.85
2019-01-07,51.495,43.42,60.78,24.31,65.68,62.06,51.18,30.99,52.44,86.3305,103.215
2019-01-08,51.97,44.135,61.26,24.295,66.58,62.545,51.67,31.53,53.1,87.0163,104.225
2019-01-09,51.985,44.16,62.14,24.4,66.995,63.325,51.16,31.4,52.69,87.26,104.71
2019-01-10,52.49,44.265,62.38,24.45,67.99,63.62,51.47,31.915,53.49,87.51,104.48
2019-01-11,52.23,44.02,61.97,24.475,67.855,63.51,51.6001,31.92,53.19,87.74,104.535
2019-01-14,51.839,43.9,61.91,24.665,67.88,62.99,51.39,31.8825,52.005,86.915,104.03
2019-01-15,51.52,44.57,62.01,24.85,67.61,63.85,51.86,32.2299,52.71,88.2816,104.855
2019-01-16,51.75,44.4,62.035,25.425,67.74,63.94,51.575,32.4,52.84,88.21,104.605
2019-01-17,52.59,44.575,62.61,25.5499,68.835,64.34,51.815,32.53,53.05,89.05,105.28
2019-01-18,53.42,44.93,63.8,25.97,70.09,65.25,52.38,32.61,53.065,89.95,106.74
2019-01-22,52.6,43.88,62.3,25.625,68.495,63.99,51.83,32.545,53.165,89.18,104.93
2019-01-23,52.39,43.78,61.795,25.7,68.76,64.4,52.54,32.59,53.77,89.5,105.31
2019-01-24,52.115,44.06,62.14,25.7821,69.215,65.055,51.905,32.765,54.08,88.84,105.9
2019-01-25,53.14,44.59,62.88,25.98,70.07,65.905,51.745,33.12,53.305,88.87,106.96
2019-01-28,53.03,44.195,62.26,25.9,69.375,65.025,51.92,33.445,53.04,87.85,106.31
2019-01-29,53.58,43.665,62.5099,25.83,70.315,64.375,52.015,33.7,53.175,88.29,105.67
2019-01-30,54.195,44.28,63.37,25.94,71.44,66.345,52.395,34.02,53.605,89.4825,107.74
2019-01-31,53.355,46.13,63.74,25.98,71.8,66.29,53.52,34.365,54.895,90.83,108.845
2019-02-01,53.54,45.965,64.83,26.055,71.915,66.655,53.205,34.115,54.54,90.7699,107.175
2019-02-04,53.405,46.34,65.03,26.16,72.79,67.6725,53.515,34.3045,54.62,90.415,107.8201
2019-02-05,53.77,46.88,65.05,26.11,73.44,68.305,53.57,34.545,54.73,90.4,108.85
2019-02-06,53.465,45.88,64.64,26.07,73.43,68.53,53.61,34.275,54.695,90.72,108.43
2019-02-07,52.7,45.33,63.22,25.795,72.905,67.51,53.49,34.54,55.38,89.7,107.465
2019-02-08,52.64,45.655,62.845,25.645,72.94,67.825,53.7,34.56,55.64,89.81,106.97
2019-02-11,52.77,45.25,63.26,25.75,73.47,67.955,53.9199,34.645,55.645,89.8,107.34
2019-02-12,53.975,45.76,64.01,26.13,74.6,68.865,54.35,34.415,55.775,91.0,108.955
2019-02-13,54.055,45.8,64.82,26.2001,75.11,68.955,54.4999,34.6699,55.62,91.225,109.755
2019-02-14,53.8,45.985,65.105,25.92,74.735,69.105,53.8401,34.82,55.56,91.55,109.395
2019-02-15,54.48,46.14,66.0525,26.415,75.67,69.57,54.335,35.0,55.7,92.79,110.01
2019-02-19,54.79,46.19,66.3,26.495,,69.6,54.6,35.035,56.065,92.615,110.5
2019-02-20,55.76,46.06,66.6,26.6364,76.02,69.72,54.54,34.8,56.29,92.52,110.73
2019-02-21,55.54,45.63,65.56,26.51,75.72,69.75,54.68,34.87,56.7,91.71,110.5
2019-02-22,55.76,46.07,65.77,26.45,76.21,70.63,54.43,35.08,57.05,92.55,111.11
2019-02-25,56.15,46.12,65.87,26.56,76.51,70.99,54.13,34.79,56.67,92.67,110.73
2019-02-26,55.81,46.12,65.66,26.5,76.3,71.13,54.16,34.72,56.61,92.36,110.89
2019-02-27,55.72,45.9,65.9,26.6,76.59,71.05,54.08,34.59,56.7,91.92,110.8
2019-02-28,55.04,45.91,65.26,26.53,76.34,70.86,54.33,34.72,57.0,91.65,110.21
